stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,24.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.36,36.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,5.74,0,0,0,0,0,0,0,0,25.46,12.18,0,0,0,0
 10-12,0,0,0,3.34,0,0,0,0,0,0,0,0,14.37,9.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.17,0,0,0,0,0.86,0,0,0.9,1.61,0
 24-34,0,0,1.65,0,0,0,0,0,0,0,1.6,0,5.25,0,0,0,1.65,3.26
 36-46,0,0,3.41,0.68,1.61,0,0,0,0,0,0.83,0,5.7,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.47,0,0,0,0,0,7.93,0,3.87,0,0,0
 60-70,0,0,0.65,1.52,1.44,0,0,0,0,0,0,1.33,0,0,0,0,0,1.35
 72-82,0,0,1.16,0,0,0.69,0,0,0,0,0,1.77,2.23,0,0,0,0,0
 84-94,0,0,3.47,0.79,0,0.63,0,0.67,0,0,1.86,0,0,0,0,0,0,0
 96-106,0,0,0.7,0.58,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0
108-118,0,0,11.83,0,0,0,3.18,1.74,1.6,1.07,0,0.58,6.01,0,3.17,0,0,0
120,0,0,15.46,0,0,0,0,0,0,0,8.12,0,0,0,3.24,0,0,0
