stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,45.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.14,7.54,0,0,18.84,5.76,0,0,0,0,0,0,0
 10-12,0,7.03,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,67.11,0,0,0,18.05,0,8.36,0,0,0,0,0,0
 14-21,0,0,1.86,1.06,0,0,0,0,0,0,46.27,0,0,0,0,1.28,0,0,0,0,0,1.79,0,0,0.99,1.43,0,0,0
 24-34,0,0,0,0,2.61,0,0,0,0,0,126.39,0,0,0,0,3.56,14.92,0.69,0,0,0,0,0,0,0,0.71,6.14,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,199.21,0,0.91,0,0,1.58,18.88,0,0,0,0,0,0,0,0,1.16,15.53,0,0
 48-58,0,0,0,0,6.19,0,0,0,0,0,218.32,0,5.57,0,0,0,24.43,0,0,0,0,0,0,0,0,2.66,14.03,0,0
 60-70,0,0,0,0,17.85,0,0,0,0,0,174.91,0.71,0,0,0,0,38.79,0,0,0,0,0,0,0,0,2.31,9.06,0,2.64
 72-82,0,0,0,10.19,28.72,0,1.51,5.31,0,0.89,234.02,0.75,9.5,0,0,0,32.15,0,2.41,0,0,1.44,0,1.5,0,3.56,6.96,0.93,0
 84-94,0,0,0,0.84,13.6,0,0.56,0.97,0,0,270.48,1.55,6.17,0,2.76,0,49.28,0,0,0.84,0,0,0,0,0,1.5,15,0,0
 96-106,0,0,2.21,11.33,12.84,0,0,0,0,0,383.81,0,4.72,2.75,4.02,1.59,30.47,0,0,0,0,2.76,0,0,0,0,20.02,0,0
108-118,0,0,0,5.5,34.61,0,0,2.39,1.9,0,386.04,0,8.38,0,0,0,28.45,0.56,2.3,0,0,1.59,0.62,0,0,0,13.97,1.15,0
120,0,0,1.28,4.84,36.5,1.26,0,14.41,0,0,633.35,0,0,0,0,0,73.51,0,0,0,0,1.28,0,0,0,0,14.48,0,0
