stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,165.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.33,111.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27,0,0,7.27,0,0,7.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,108.46,0,0,14.13,0,3.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,11.6,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0.98,38.53,0,0,0,0,0,0,1.68,0,0,0.81,14.18,0,0,0,0,0
 24-34,0,0,3.13,20.05,0,17.26,0,0,0.83,0,0,0,0,0,0.81,0,0,0,6.16,0,0,2.66,170.05,7.82,1.91,0,0,2.07,0,0,0,0,0,32.67,0,0,0,0,0
 36-46,0,0,0,6.13,0,16.82,1.18,0,1.45,0,1.45,0,0,0,0.77,0,0,0,6.55,0,0.88,0,324.07,11.64,0,0,0,0,0,0,0,0,0,31.3,0,0,0,0,0
 48-58,0,0,0.44,2.56,0,99.15,1.32,0,0,1.43,0,1.18,5.82,0,0,0,0.4,0,8.62,0,0,1.2,368.61,2.24,0.42,0,0.39,0,0,0,0,0,0,25.42,0,0,0.44,0,2.64
 60-70,0,0,0,7.16,0,498.12,1.58,0.91,3.69,1.46,0,0,0,0,0,0,0,0,16.72,0,3.88,1.27,310.39,3.69,0,0,0,1.26,0,0,0,1.94,0,41.63,0,4.75,0.79,0,0
 72-82,0,0,0,5.19,2.5,979.6,7.54,0,2.72,18.21,0,0,0.87,3.98,0,3.21,1.62,0,23.31,0.56,8.56,1.31,280.91,4.09,1.62,0,0,1.19,0,0,0,0,0,39.21,0,5.09,3.27,2.03,0
 84-94,0,0,0,5.94,1.48,1226.44,5.18,0,10.37,8.93,0,1.3,0,0,0,0,1.7,0,29.12,0,0,3.5,271.97,5.85,3.34,0,0,8.88,0,0,0,0,0,20.46,0,9.54,1.54,3.33,0
 96-106,0,0,0,5.16,7.94,918.14,8.85,0,2.84,13.82,0,0,0,2.8,4.05,1.33,2.69,0,13.7,0,0,8.28,216.2,13.2,10.68,0,0,0,0,0,0,0,0,21.47,0,4.25,4.34,0,6.49
108-118,0,0,0,11.84,1.42,753.04,3.96,0.75,4.56,17.69,0,0,0,0.43,0,0,0.53,6.42,16.64,0,1.7,5.35,246.46,11.9,8.12,0,0,5.19,0,0,0.84,0,0,11.83,0.68,3.72,2.83,0,0
120,0,0,0,1.21,0,744.22,4.97,1.72,28.13,25.42,0,0,0,3.95,0,0,1.54,0,10.69,0,0,13.85,293.83,14.25,1.29,0,18.42,5.86,0,0,0,0,0,3.8,0,5.53,0,0,0
