stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,9.57,31.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.83,0,0,0,0,0,0,0,17.16,0,0,10.46,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.39,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.72,2.24,0,0,0,0,0,1.26,0,0,1.1,0,0.86,0.96,1.47,0,0,0,0.91,2.17,0,0.98,0,0
 24-34,0,0,0.7,2.05,2.99,0,0.66,0,0,0.65,9.85,0,1.88,6.13,0,0,8.64,0,0,0,5.58,0,0,0,1.23,3.65,0
 36-46,0,0,0.76,0,1.85,0,0,0,0,0,7.21,0.62,0,9.78,0,0,21.13,0,0,0,0,0,0,0,0.95,0.56,0
 48-58,0,0,0,0,10.86,2.95,0,0,0,0,0.37,0,0,29.65,0,0,29.2,0,0,0,0,0,0,1.3,2.05,1.06,0
 60-70,0,0,0,0,2.62,0,2.87,0,0,0.8,0,0,1.92,21.9,0,0,45.66,0,0,0,0,0,0,0,1.27,0,0
 72-82,0,0,0,12.12,7.49,0.81,4.44,0,0,7.93,1.9,0,0.59,38.71,1.36,0,13.14,0,1.44,0,0,0,0,0,2.33,1.05,0
 84-94,0,0,1.28,5.6,3.77,0,5.98,0,0,4.36,0,0,2.79,35.76,0,0,24.61,0,0,0,0,0,0,0,3.09,3.88,0
 96-106,0,0,1.51,0.77,13.76,0.66,7.11,0,0,17.71,0,0,3.35,49.21,0,0.79,20.93,0,0,0,0,0,0,0,3.32,2.08,1.93
108-118,0,0,2.44,1.46,5.94,0,6.83,1.19,0,29.49,0.67,0,0.42,21.92,0.97,0,25.9,0,0,0,1.4,0,0,0,0,0.95,0
120,0,0,1.58,2.58,1.67,0,1.95,1.24,0,37.3,0,0,0,17.34,0,0,16.97,0,0,0,1.61,0,0,0,0,0,0
