stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,3.57,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,37.52,13.62,0,0,4.37,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0.96,3.66,1.82,1.23,0,0,0,0,0,5.86,0,0,0,0
 24-34,0,0,0,0,0,2.11,0,0,0,0,0,0,3.5,0,0,0.93,26.77,0,0,0,0,0,3.13,0,3.26,0,0,0,0
 36-46,0,0,0,0,0,1.63,1.6,0.8,0,0,0,0,9.27,0,0,0.85,44.59,3.47,0,1.66,0,0,22.73,0,4.9,0,0,0,0
 48-58,0,0,0,0,0,7.48,0,5.91,1.98,0,0,0,4.95,0,0,0.41,41.32,0,0,0,0,0,1.11,0,6.22,0,0,0,0
 60-70,0,0,0,0.87,0,88.17,0,1.91,0,0,0,0,2.31,0,0,0,24.46,0,3.96,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.16,0,282.54,0,3.08,0,0,0.56,0,13.51,0.94,1.36,0.73,21.12,0,0,0,0,1.03,1.17,0,0,0,3.3,0,1.76
 84-94,0,1.29,0,0,0,270.54,0,0,1.64,0,0,0,10.05,0,0,8.91,9.22,0,0,0,0,0,10.53,0,2.65,0,0,0,0
 96-106,0,0,0,0,0.94,282.42,1.53,5.21,0.73,0.58,1,0.66,10.7,0,0,2.86,2.95,0,0,3.73,0,0,10.74,1.06,4.02,0,0,0.74,0
108-118,0,0,0,4.38,0,246.29,0,10.98,0,1.86,0,0.55,4.28,0,0,2,11.9,0,0.49,0.91,0,0,16.06,0,0,1.13,0,0,1.72
120,0,0,0,0,2.6,245.05,0,0,2.43,0,1.89,0,0,0,0,0,41.77,0,0,0,0,0,0,0,0,0,0,0,0
