stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord
  3-4,20.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0
 10-12,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,4.18,0,0,0
 14-21,0,0,1.14,0,0,0,0,0,0,0,10.14,0,0,1.23,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.92,0,12.08,0.9,0,0,4.36,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,9.98,0,0,2.37,0,0,0
 48-58,0,0,0,0,0,1.08,0,0,0,0,6.56,5.4,0,0,0.82,0,0,0
 60-70,0,0,0,0,0,1.22,0,0.92,0.81,0,3.66,0.72,0,0,1.95,1.68,0,0
 72-82,0,9.4,0,0,0,2.74,0,0,4.41,0,25.44,0,0.97,0,5.88,0.96,0,5.99
 84-94,0,4.72,0,2.02,0,0,0,0,9.06,1.18,15.82,0,0,0.79,0.68,0,0.95,0
 96-106,0,12.6,0,0.9,4.84,6.06,0,0,15.9,0,33.79,0,0.79,0,16.08,0,0.59,0
108-118,0,0.52,0,1.7,0,0.46,0.47,2.61,33.97,0,62.61,0,5.33,0,19.61,0,0.57,0
120,0,3.64,0,0,0,7.75,2.75,0,37.56,0,67.21,0,0,0,7.87,5.7,2.12,0
