stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.61,3.65,0,0,11.22,0,0,0,0
 14-21,0,1.69,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,1.62,0.82,0
 24-34,0,5.15,0,0,0,1.32,0,0,0,0,0,0,15.65,0,0,0,0,8.39,0,0.96,0
 36-46,0,1.33,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,15.79,0,1.48,0
 48-58,0,0.87,0,0,0,0.92,0,0,0,0,0,0,2.66,0,0.86,1.36,0,5.06,0,0.44,0
 60-70,0,8.2,0,0,0.58,0,0.85,0,0,0,0,0,8.8,0,0,0,0,11.98,0,0,0
 72-82,0,2.68,0.57,0,0,2.42,0,0,0,0,0,0,6.86,0,2.23,0,0,5.74,0,0,0
 84-94,0,8.53,0,0.61,0,2.65,0,0,0,0,1.74,0,9.8,0,0,2.01,0,23.07,0,0,0
 96-106,0,2.89,0,0,0,1.54,0,0,1.11,2.93,6.31,0,3.02,0,0,0,0,27,0,0.57,3.18
108-118,0,1.46,0,0.42,0,1.12,0,1.1,0,0,2.59,0.6,0,0,0,0,0,11.47,0,0,0
120,0,15.31,0,0,0,0,2.63,0,1.6,0,1.15,0,11.14,0,0,0,0,13.18,0,0,0
