stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,6.44,4.15,0,8.4,0,0,0,0,0,0.95,0,0,0,0,0,0,0,3.14,0,0,2.5,47.55,0,0.92,0,0.89,5.37,1.37,0,4.47,21.22,20.96,0,0,0,0
 24-34,1.05,2.32,1.65,0,14.74,0,0,0,1.8,0,0,0,0.9,8.36,0,0.85,0,0.65,3.38,0,0,12.13,124.42,0,5.12,0,0,10.35,0,0.63,9.35,5.56,38.44,0,0,3.34,0.61
 36-46,0,0.69,0,0,32.72,18.6,0,0,4.47,0,0,2.56,3.15,0,0,0,0,0,14.07,1.21,0,4.59,157.25,0.66,4.67,0,0,21.18,0,0,19.17,0.74,49.44,0,0,1.49,0
 48-58,0,0.37,0,0,50.66,9.3,0,1.12,16,0.43,0,0,0,2.55,0,0,0,0.38,10.1,1.9,0.5,0,168.7,0,1.51,3.92,0,9.43,0,0,23.37,0,41.57,0,0,1.71,3.26
 60-70,0,10,0,0,91.5,6.11,1.09,0,23.15,0,0,0,1.14,5.04,8.58,0,0,0,18.07,0,0,2.93,157.24,0,7.04,0,0.81,0.59,0,0,6,0,17.23,0,0,2.75,0
 72-82,1.51,0,9.17,0,87.28,3.35,0,2.62,31.46,2.06,0,0,0,1.63,0,2.83,0.78,0,18.45,1.23,1.17,5.46,164.7,0,5.83,1.42,0,11.65,0,0,2.04,0,29.01,0,0,0,0
 84-94,0,6.8,4.56,1.98,55.8,0,8.8,0.67,10.3,3.31,0,0,0,3.74,0.55,0.67,5.61,0,17.35,0,1.04,5.14,133.52,0,7.58,0.82,0,40.21,0,1.18,1.2,0,2.68,2.5,0,3.01,0
 96-106,0,10.97,24.08,6.01,53.7,0,0,0,9.68,2.3,0,0,2.11,0,0.75,2.5,0,0,17.56,19.15,1.42,7.99,111.41,0,6.4,0.62,0,26.09,0,0,1.58,0,9.44,0.71,0.88,2.4,0
108-118,0,6.87,7.13,6.47,67.84,5.76,5.41,0,6.92,1.9,0,1.01,0.48,2.47,0,0,0.52,0,31.81,6.95,0,3.04,140.85,0,6.14,2.63,0,26.65,0,0,4.44,0,11.5,0,0,0.48,0
120,0,19.85,1.2,4.06,32.1,2.77,0,0,26.8,1.19,0,0,2.88,3.96,0,6.4,1.02,0,23.13,12.35,0,11.65,178.19,0,0,2.38,0,12.26,0,0,1.21,0,0,0,0,0,0
