stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0,0,0,0,0
 10-12,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,7,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0.9,0
 24-34,0,0,0,0,2.53,0.78,0,0,0.68,0,0,0,0,0,0.84,13.23,17.71,0,0,0,0,0,1.02,5.03,0
 36-46,0,0,0,0,5.54,0,0,0,0,0,0,0,0,1.05,0,18.97,32.71,0,0,0,0,0,0,25.76,0
 48-58,0,0,0,0,2.47,0,1.03,0,0,0,0,0,0,0.66,0,59.88,22.74,0,0,0,0,0,0,49.59,0
 60-70,0,0,0.68,0,67.86,0,0,0.75,0,0,0,0,0,0,0,64.08,30.48,0,0,0,0,2.11,0,16.33,0
 72-82,0.71,0,1.79,0,90.95,0,3.41,1.99,0,0,0,3.06,0,2.93,0,141.22,48.99,0.61,0,0,0,0,0,8.8,0
 84-94,0,0,0,0,89.68,0,0,5.94,0,0,0,0,0,1.62,0,141.45,26.9,0,0,0,6.86,0,0,8,0
 96-106,0,0,3.06,8.38,192.21,0,0,6.15,0,0,0,0,3.66,2.9,0,102.85,62.12,0,0,2.56,0.8,0,0,15.15,0
108-118,0,0,0.95,0,102.61,0,0,4.33,0,0.89,1.07,0,0,4.06,1.11,154.96,46.4,0,0,0,0.59,0,0,1.56,0.67
120,0,0,2.36,0,146.76,0,0,2.21,0,0,0,0,0,28.68,0,264.43,82.8,0,0,0,0,0,0,11.5,0
