stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,mesenchyme,neural,otic,spinal.cord,vasculature,xanthophores
 24-34,0,0,0,0,0,0,0,13.83,0,10,0.76,0
 36-46,0,0,0.88,0,0,0,0,27.84,0,13.98,1.92,0
 48-58,0,0,6.77,0,0,0,0,30.83,0,1.98,0,5.04
 60-70,0.77,0,48.6,0,0.9,0,0,74.17,0,3.85,0,0
 72-82,0,0,103.53,1.36,4.62,0,0,148.98,0,3.45,0,0
 84-94,0,0,77.04,0,3.67,0.77,0,60.8,0,13.24,0,0
 96-106,0.71,1.57,58.7,1.65,0,0,3.36,59.8,0,1.03,1.55,0
108-118,0,2.35,44.05,0,2.58,0,2.18,80.56,1.28,0,0,0
120,0,0,28.85,0,2.67,0,0,61.44,0,0,0,0
