stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.33,0,0,0,7.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.38,0,15.21,0,57.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.97,4.28,0,0,13.85,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.9,47.4,91.75,0,10.03,0,36.29,0,0,0,0,13.79,0,0,0,0,0,0,0,0,0,18.27,45.03,165.22,0.85,13.23,0.89,0,138.36,17.18,150.02,116.61,30.69,0,0,36.97,0,0
 24-34,0,0,1.33,65.64,72.68,0,6.75,8.76,78.34,0,0,1.89,0,78.49,0,0,0,4.36,2.17,0,11.33,1.69,0,13.4,328.03,49.95,0,24.47,0,0,342.02,38.1,15.21,47.26,105.93,0,0,439.95,0,0
 36-46,0,1.35,0,54.98,46.94,0,64.59,7.5,29.7,2.12,3.66,0.66,0,22.5,0.68,0,0,2.95,0,0,29.13,2.13,0,3.17,788.6,48.62,0,34.61,0,0,375.14,16.5,2.19,0,173.91,0,0,682.21,0,0
 48-58,0,0,0,31.05,92.95,0,217.38,2.52,19.61,1.48,23.81,4.82,0,30.89,4.75,2.29,0,1.12,0,0.4,56.76,1.81,0.44,7.73,1027.3,83.34,0,50.24,0,0,199.21,4.48,0.45,0,141.01,0,0,515.41,0,2.48
 60-70,0.81,0,0,24.67,163.21,0,302.06,6.06,14.4,0,29.27,17.16,0,19.41,4.29,1.42,0,2.52,3.39,0,190.94,0,0.89,8.48,1674.69,38.6,1.82,36.43,0,0,195.19,16.01,1.29,0,166.34,0,10.35,377.77,0,0
 72-82,0,0,3.31,13.83,322.5,0,297.16,8.17,12.58,0.67,61.1,58.81,0.52,19.53,7.14,0,0.49,2.29,1.38,0,226.86,0,0.77,5.38,1522.94,18.58,0.54,75.2,0,2.19,122.52,11.75,0,0,78.21,2.29,0,759.59,0.92,9.7
 84-94,0.62,0,0,56.08,329.14,0,185.81,7.36,10.53,0,39.34,101.28,0,11.66,0.64,3.04,0,2.48,2.4,0,227.07,0,10.41,8.45,976.69,47.56,11.16,115.31,0,0.91,284.9,16.05,0,0,49.03,3.25,1.28,658.51,0.61,0
 96-106,0,0,2.42,69.12,536.68,5.91,236.41,7.75,19.07,2.05,46.32,55.54,0,26.54,7.29,1.45,0,2.61,2.03,0,170.16,1.47,6.34,8.47,823.37,26.91,2.77,91.33,0,4.11,289.21,14.53,0.64,0,26.19,9.26,0,860.6,0.65,0.79
108-118,1.34,0.71,0.49,62.52,187.83,1.96,263.24,5.66,24.21,1.17,46.05,74.47,0,18.29,7.89,5.09,0.55,1.85,2.58,0,207.73,0,5.68,4.04,758.2,33.34,1.94,89.74,0,17.69,264.52,17.86,0,0,8.89,10.58,0,768.42,0,5.83
120,1.12,0,0,91.83,244.17,5.3,412.81,53.4,24.08,0,65.63,100.37,0,30.98,0,2.26,0,0,0,0,218.3,3.32,1.26,8.44,1239.7,130.39,0,73.33,0,12.59,150.77,13.11,0,0,49.53,1.47,0,669.74,0,0
