stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.39,65.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0
  5-6,19.5,124.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.37,0,0,0,15.27,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.91,0,16.63,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,79.4,0,0,0,0,0,0,0.9,0,15.06,0,0,0,0,0
 24-34,0,0,0,2,0,19.75,0,0,0,3.1,0,0,0,0,0,0,0,0,2.31,0,0,0.94,291.75,0,6.91,0,0,0,0.6,0,0,16.56,0,0,0,0,0
 36-46,0,0,0,0,0,52.19,0,0,0,50.92,0,0,0,0,0.57,0,0,0,2.72,0,0,0,609.06,0.78,1.2,0,0,0,0,0,0,68.31,0,0,0,0,0
 48-58,0,0,0,8.74,0,186.45,0,0.49,0.42,195.77,0,0,1.91,0,4.49,0,0,0,20.73,0,0,4.62,937.01,0.55,0.91,2.33,0,0,2.21,0,0.92,80.88,0,0,0,0,5.5
 60-70,0,0,0,4.94,0,1166.88,0,0.94,0.75,472.38,0,0,4.43,0,0,0,1.33,0,66.97,0,0,5.46,1425.64,0,0,7.41,0,0,2.01,0,1.33,145.14,0,0,2.56,1.79,12.03
 72-82,0,0,0,11.86,1.23,1650.3,0,2.43,2.42,514.91,2.79,0,0,0.7,1.59,1.18,0,0,132.45,1.8,0,2.6,1840.88,0.55,0,3.02,0,0,7.39,0,0,135.58,0,0.85,0,0,6.63
 84-94,0,0,2.22,24.79,1.62,1139.76,1.64,1.39,0,242.21,0.57,0,0,0,12.67,0,0,3.45,111.9,0,0,3.95,1341.35,0,0.7,2.32,0,3.87,11.2,0,0,53.24,0.77,2.23,1.49,4.1,0
 96-106,0,0,0,22.45,12.54,900.42,0,0,0.97,352.73,1.44,0,0,0,0,0,0,0,70.62,0,0,1.34,1407.06,0.73,7.95,10.45,0,1.51,3.31,0,0,37.34,10.69,2.94,2.33,3.68,0
108-118,0,0,0,27.57,2.72,899.34,4.79,0,0,327.61,0,1.47,1.33,0,1.44,0,5,0,74.87,0,1.3,3.18,1777.14,0,0.77,6.52,0,0,3.92,0,0.86,64.3,0,3.17,0,0,0
120,0,0,0,29.42,2.01,761.63,18.76,0,0,173.15,1.55,0,3.53,0,0,3.86,0,0,58.17,0,0,0,1835.97,17.48,32.84,8.62,0,0,2.92,0,0,55.64,0,0,0,0,0
