stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,74.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,21.53,0,3.28,0,0,0,0,0
 10-12,0,20.06,0,0,0,0,0,0,0,0,0,11.97,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0.87,4.61,0,0
 24-34,0,0,0,0,0,3.97,0,0,0,0,0,2.52,0,0,9.58,0,5.38,0,0
 36-46,0,0,0,0,0,14.01,0,0,0,0,0,1.71,3.78,0,1.79,0,4.84,0,0
 48-58,0,0,0,0,0,5.4,0,0,0,0,0.52,0,2.18,0,9.99,0,4.33,0,0
 60-70,0,0,0,0,0,5.63,0,0,0,0,0,0,2,0,14.29,0,13.66,0,0
 72-82,0,0,0,0.5,1.7,4.56,0,0.78,0,1.46,0.67,1.45,1.81,0,0.62,0,2.46,0,1.05
 84-94,0,0,0,0.78,0,2.66,0,0,0,0,0,0,6.98,0,1.64,0,1.69,0,0
 96-106,0,0,0,0,0,8,0,0,0,0,1.23,1.5,14.02,0,3.72,0,1.96,0,0
108-118,0,0,2.12,0,0,12.93,0.42,0,0,0,0,4.09,9.1,0,7.28,0,4.25,0,0
120,0,0,0,0,0,10.57,0,0,1.63,0,0,0,10.58,0,7.9,0,2.98,1.52,0
