stage,epidermis,erythrocytes,mesenchyme,neural,periderm,taste
 24-34,0,0,0,0,1.06,0
 48-58,0.44,0,0,1.48,0,0
 84-94,0,0,0,0,3.06,3
 96-106,0,0,1.38,0,0,0
108-118,0,1.98,0,0,0,0
