stage,eye,glial,ionocyte,mesenchyme,neural,periderm
 24-34,0,0,0,0,0.85,0
 48-58,0,0.58,0,0,0,4.27
 60-70,1.42,0,0.61,0,0,0
 84-94,0,1.55,0,0,0,0
108-118,0,0,0,0.85,1.31,0
