stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,2.44,0,0,10.12,0,0.97,0,0.97,0.9,6.3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.07,3.78,0,0,0,0,1.55,0,0,14.3,16.5,0,0,2.35,0,1.53,0,0,0.91,0,0
 36-46,0,0,0,0,0,0,0,0,3.08,0,0,0,0,1.54,0,0,5.09,23.22,0,0,0.89,0,0,0,0,1.35,0,0
 48-58,0,0,0,0,2.57,0,0,1.11,4.08,0.78,0,0,5.79,4.17,0,0.42,6.03,19.47,0,0,0,0,6.82,0,0,0.42,0,0
 60-70,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0.69,0,0,1.92,29.56,0,0,1.54,0,0,0,0.71,0,0,0
 72-82,0,0,0,0.96,4.54,0,0,2.49,14.52,0,0,0,0,1.73,0,0,10.72,51.77,0,0.89,0,0,0,0.81,0,7.83,1.09,0
 84-94,0,2.99,1.42,0,1.44,0,0,1.07,19.98,0,2.65,0,0,6.44,0,0,8.56,176.32,0,1.53,9.36,0,0,0,0,4.37,0,0
 96-106,0,1.27,1.3,0,0,0,0.72,6.52,16.61,0,0,0,0,8.69,2.42,0,9.22,240.45,0,0,5.54,0,0,0,3.48,2.32,0,3.5
108-118,0,5.31,0.42,0,4.63,0.67,6.04,0.52,12.94,0,0,0.65,0.69,7.37,0,0,4.82,206.45,0,2.47,5.45,0,0,0,0,12.55,0.72,0
120,0,3.17,1.3,0,0,0,0,6.78,5.14,0,8.97,0,0,1.78,0,1.58,19.19,222.19,0,0,0,0,0,0,0,16.25,3.54,0
