stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  5-6,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,4.74,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.16,0,0,0,0,0,0,0,0,0,37.22,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0.96,0,0
 36-46,0,0,0,0,0,0.9,0,0,1.25,0,0,0,184.83,0,0,0,0,0,1.9,12.5,0,0,0,0,0,0,3.55,0,2.19
 48-58,0,0,2.46,0,0,9.65,0,0,1.25,0,0,0,516.97,0.77,0,13.61,3.54,0.42,0.57,45.37,0,0,0,0,0,4.36,7.55,0,5.75
 60-70,0,0,0,0,0,16.96,0,0,1.05,3.6,0,0,1347.84,0,0,0,3.51,0,0.81,39.08,0,0,0,2.17,0,0,7,0,0
 72-82,0,0,0,0,0,30.3,0.65,0,3.44,0,0,0,1359.69,0.51,2.9,0,7.12,0,2.09,33.72,0,1.07,0,2.41,0.49,0,4.24,0.61,11.87
 84-94,0,0,2.12,0,0,11.12,0.56,0,1.4,0,0,0,2050.31,0,0,0,1.9,0,5.73,26.92,0,0,0,0.58,0,0,0,2.52,24.24
 96-106,0,1.08,4.37,0,3.47,23.54,0.65,0,2.59,1.18,0.98,0.56,1786.71,0,15.39,0,0.77,0,0,31.43,3.83,0,0,0.95,7.34,0,0,0,7.02
108-118,0,0,0,5.82,2.84,13.96,0,1.87,9.47,0,0,0,3085.78,0,1.61,0,12.44,0,1.48,24.32,0,0,0,0.87,0,0,0,0,36.66
120,0,0,0,0,1.05,2.01,0,0,2.24,0,0,0,1607.1,0,0,0,0,0,1.62,17.9,1.73,0,0,0,0,0,0,0,15.25
