stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,46.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.19,95.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.6,0,0,9.01,0,0,0,0,0,0,0,0,0,0,50.21,9.73,0,14.77,0,0,0,0,0,0,0
 10-12,0,0,4.73,0,6.95,0,0,0,0,0,0,0,0,0,0,79.09,0,0,22.71,0,14.13,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0.85,0,0,0
 24-34,0,0,0,0,0.76,0,0,0,2.45,0,0,0,2.68,0,0,11.44,0,0,0,0,0,1.16,0,3.23,0,0
 36-46,0,0,0,0,1.61,0,0,0,0.59,0,0,0,0,0,0,6.39,0,0.73,0,0,0,0,0,6.89,0,0
 48-58,0,0,0,0.38,0.93,0,0,0,24.84,0,4.95,0,2.42,17.08,0,6.58,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.61,1.08,0,1.29,0.85,7.95,0,0,0,4.46,9.29,0.6,2.43,0,0,0,3.29,0,0,0,0,0,0
 72-82,0,0,0,0,3.87,0,0.77,2.93,5.46,0.84,0,2.73,5.07,37.33,0,0.8,0,0.75,0,0,0,0,0,1.29,0,0
 84-94,0,0,0,0,1.51,0,0.66,21.97,13.79,0,0,0,0,46.47,0,1.29,0,0,0,0.69,0,0,0,5.46,0,0
 96-106,0,0,0,0,2.59,0.73,0,44.02,1.32,0,0.58,4.97,11.47,48.91,0,0,0,0,0,0.59,0,0,0,9.69,0,0.68
108-118,3.95,0,2.01,1.27,0.43,0,0,48.98,0,0,0,0,4.97,42.17,0,2.55,1.15,0,0,0.9,0,0,0,0.93,1.69,0
120,0,0,0,0,16.93,4.12,0,33.78,0,0,0,5.02,0,16.09,0,24.22,1.93,0,0,0,0,0,0,0,2.72,0
