stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.22,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.08,13.31,0,0,18.56,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1.81,1.69,0,6.9,0,0,0,2.93,0,0,0,0,0,0,0,0,5.41,21.72,0,17.97,76.57,3.52,0,0.8,7.01,0,2.95,2.38,0,1.7,13.97,17.89,0,0,2.44,0,0
 24-34,0.97,0,2.68,0,0,15.81,0,0,1.58,7.64,0,0,6.54,0.87,0,4.1,0.78,0,6.85,42.19,0,39.98,205.69,0,0,1.35,0,0,0,0,0.84,3.28,5.19,63.91,0,0,52.47,0,7.9
 36-46,0,0,0.83,1.22,0,54.15,0,0,2.15,11.76,0,0,7.12,0,7.08,0.61,0,0,1.24,78.75,1.37,22.11,129.94,0,0,0.72,0,0,19.65,0,0,0,0,37.97,0,0,18.78,0.78,4.17
 48-58,0.42,0,1.31,0,0,156.32,0,0,2.19,42.96,0,0.49,1.16,0,0,0.38,0,0.37,4.25,74.36,6.74,14.35,158.4,0,0,0.38,0,0,4.12,0,0,0.89,0,38.12,0,0,28.41,0,5.22
 60-70,10.41,0,5.4,0,0,345.54,0,8.23,5.67,52.04,0,0,0.76,0.64,0,0,0.67,0,2.15,92.82,24.43,14.28,242.29,0,0,4.13,0,0,1.86,0,0,1.58,0,20.64,0,0.9,11.71,1.66,8.23
 72-82,0,0,11.18,0,0,394.89,0,2.2,4.19,34.19,0,0,3.47,0,0.63,0.65,0,0,0,85.89,4.03,6.9,240.21,0,0,2.66,0,8.39,0,0,0,0,0,17.07,1.01,5.14,56.76,7.53,7.42
 84-94,0,0,0,0,0,277.62,0,4.7,3.15,13.09,1.44,0,3.28,0.55,0,2.89,0,0,0,90.78,11.28,7.93,167.96,0,0.8,0,0,0,1.36,0,0,0,0,16.61,0.57,12.51,34.11,0,6.86
 96-106,0,0,0.61,0,0,227.73,0,0,1.14,18.15,0,0,3.33,2.7,0,0.57,0,0,1.03,76.12,4.88,2.87,206.94,0,0,0.76,0,1.96,0,0,0,0,0,5.4,0,0,31.64,4.11,9.36
108-118,0.71,0,0,0.46,0.8,182.25,0.49,1.01,0.8,19.05,0,0,0,0,0,10.29,0,0,0,83.49,6.28,7.21,136.09,0,0.7,2.89,0,2.15,0.43,0,0,0,0,0.69,0,0,34.19,0,8.47
120,0,0,1.1,0,0,177.81,0,0,5.25,39.13,0,0,0,0,0,10.67,0,6.57,0,156.45,49.3,6.1,174.49,0,0,0,0,9.21,0,1.12,0,0,0,0,0,0,55.2,0,0
