stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  5-6,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,3.56,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0,0,4.18,0,0
 14-21,0,0,0.87,0,0.86,0,0,0,0,0,1.36,0,8.53,0,0,0,0,1.16,0,0.84,11.93
 24-34,0,0,1.23,0,1.05,0,0,0,0,0,0.98,0,12.93,0,1.55,0,0,0,0.78,0,1.6
 36-46,0,0,0,0,0,0,0,0,0,0,0.65,0,10.06,0.62,2.92,0,0.78,0,0,0,1.11
 48-58,0,0,0,0.75,0.45,0,0,0,0,3.72,0,0,15.7,3.54,0,0,0.4,0,0,0,1.08
 60-70,0,0,0,3.32,3.78,0,2.65,0,0,0,0,1.49,12.95,0,0,0,0.68,0,0,0,4.98
 72-82,0,0,0,1.83,10.73,0.49,0,0,0.5,0,0,0,14.06,0,0,0,1.5,0,0,0,11.91
 84-94,0,0,0,8.75,0.63,0,0,0,0,0,0.92,0,5.98,0,0.87,0,4.06,0,0,0,0
 96-106,0,0.74,0,1.39,1.51,0,0,0.85,0,0,0,0,19.57,0,2.42,0,0,0,0,0,0
108-118,0,0,0,1.78,0.85,0,0,0,0,0,0.64,1.49,13.79,0,0,0,0,0,1.69,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0
