stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,20.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,79.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.42,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.02,33.26,5.06,12.66,0,0,1.2,0,0,0,0,0,0,0,0,2.43,0,0,9.82,78.99,2.51,0,0.94,3.79,0,0,10.38,0,22.28,26.12,0,0,0,0,0
 24-34,0,0,0,0.86,58.19,1.4,26.12,0.72,1.69,0,0,0,0,0.69,0,0,0,0,12.77,0,0,2.93,183.62,0,0,0.64,1,0,0.92,0,0,1.42,23.73,0,0,0.96,0,1.35
 36-46,0,0,0,0,34.98,0,30.1,19.26,0,8.71,1.32,0,0,0,0,0,0.85,0,12.35,0,0,4.97,163.58,0,0.56,0,0,0,0,0,0,0,20.21,0,0,1.9,0,0
 48-58,0,0,0,0,33.51,0,53.11,4.44,0.44,16.07,0,1.83,0.85,0.48,0,0.41,0,0,8.34,0.38,0.54,3.41,103.31,0,0,0.5,0,0,0,0,0,0,23.2,0,0,0,0,0.39
 60-70,0,0,0,0,32.74,0,40.03,12.68,0.93,7.54,2.72,1.38,0.65,0,0,0,0,0,15.38,0,1.14,4.38,44.69,0,0,0.69,0,1.22,1.49,0,0,0,11.69,0,0,0,0,0
 72-82,0,0,0.76,0,24.37,0,33.46,11.61,0,9.3,2.8,0,3.46,2.26,0,2.08,0,0,45.92,0,0,10.19,128.69,0,0,0.52,0,0,1.57,0,0,0,6.34,0,0,1.18,1.71,0
 84-94,0,0,0,0,30.86,0,19.57,10.35,0,2.86,0.57,0,3.09,2.13,0.56,0,0,0.73,26.69,0,0.86,0,51.86,0,0,0,0,0,0,0,0,0,1.33,0.83,0,1.17,0,0
 96-106,0,0,0,0,39.09,4.53,24.13,12.97,1.9,7.72,3.07,1.46,10.81,1.67,0,0,1.6,0,42.87,0,1.1,6.08,47.32,0,2.47,1.12,0,5.77,2.56,0,0.63,0,1.07,1.64,0,0.68,1.41,0
108-118,0,0,0,0,57.49,0.53,35.91,18.83,3.66,6.3,1.98,0,1.41,1.19,0.56,0.43,0,0,81.93,2.74,0.92,7.39,60.42,0,0.49,1.85,0,0,2.05,0,0.84,0,0,2.12,0,6.76,4.04,4.86
120,0,0,0,0,36.61,0,8.05,16.34,0,5.82,1.38,0,5.02,0,1.74,0,0,0,97.99,0,0,8.19,33.26,0,11.55,0,0,4.48,0,0,0,0,0,0,6.25,0,0,0
