stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.11,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.39,0,0,0,0,0,15.37,0,0,0,0,0,0,0,0,0,0,0,0,0,31.31,6.25,0,0,3.28,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.77,3.57,0,0,4.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.29,0.87,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,10.03,1.01,0,1.04,1.32,0,0,0,0,4.42,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,29.64,0,1.51,1.55,0,0,0,0,0.64,9.99,0,0,0,0
 36-46,0,0,0,0,0,0,25.77,0,0,0,0,0,0,0.61,0,0,2.07,0,0,0,121.69,0,0,0,0,0,0,0,0,24.58,0,0,0,0
 48-58,0,0,0,0,3.98,0,219.16,0,0,8.54,0,0,0,0,0,0,0.48,0.53,0,0,222.06,0,0,0,0,0,0,3.22,0,41.8,0,0,0,0
 60-70,0,0,0,0,0,0,748.81,0,0,0.94,0,0,0,0,0,0,7.49,1.1,0,0.83,185.93,0,0,0,0,0,0,0,0,41.06,0,0,0,0.91
 72-82,0,0,0.5,0,0.52,3.68,1107.04,0,4.56,17.67,0,0,0,0,0,2.32,11.4,0,0.92,0.52,209.53,0,1.39,1.87,0,0,0,0,0,61.9,0,0,0.77,0
 84-94,0,0,0,0,2.8,8.5,921.11,0,0.77,3.33,0,0,0,0.8,0,0,6.91,0,0,0,143.69,0,3.82,0.6,0,0,1.21,0,0,12.24,0,0.57,1.2,0
 96-106,0,0,0,0,3.95,0,1100.01,0.9,0,4.31,0.63,1.28,0.66,0.58,2.52,0,11.08,0,2.34,0,87.57,0,0,2.08,0,2.18,0,0,0,12.83,0,0,0,0
108-118,0,0,0,0,3.74,1.05,996.18,0,0,3.9,0,0,0,0,0,0,15.44,0,0,0,129.25,0.46,1.55,2.35,0,0.44,0.54,0.49,0,18.39,1.34,1.42,0,0
120,0,0,0,0,0,2.53,1167.98,0,0,8.44,0,0,0,0,1.05,0,1.83,0,0,2.55,92.94,0,0,0,0,1.81,0,0,0,21.2,0,0,0,0
