stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,55.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,5.68,0,0,0,0,0,0
 14-21,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0
 24-34,0,2.8,0,0,0.93,0.69,0,0.63,0,0,0,0,0,9.29,0,2.81,0,0,0,0,0,0,0
 36-46,0,3.39,0,0,0.58,0,0.56,1.26,0.68,2.05,0,0,1.58,8.4,0,2.43,0,0,3.27,0,0,0,0
 48-58,0,2.75,1.9,0,2.86,0,0,0.52,0,8.74,0,1.66,4.77,12.17,0.57,5.93,0,0,2.25,0,0,0,0
 60-70,0,10.82,0.78,4.15,0,0,0,0,1.13,7.29,0,14.61,4.74,0.91,0,15.77,0,0,0,0,0,0,0
 72-82,0,8.21,0,0,0,0,6.38,0,1.61,19.04,0,3.42,5.18,0.69,0,3.43,0,0,0,0,6.19,0,1.31
 84-94,0,19.7,6.15,0.55,0.56,1.32,1.2,0,0.58,20,0,2.53,0,0.94,0,4.92,0,0,0.64,0.83,2.16,0,0.64
 96-106,0,6,1.17,0,0,0,4.3,0,1.8,22.56,0,0,5.64,2.96,0,4.38,0,0,0,0,0,0,6.1
108-118,0,10.58,5.71,0,2.77,0,16.37,0.65,1.06,20.59,0,5.76,5.79,4.78,0,3.32,0,6.02,0,0,0,0.49,7.64
120,0,7.82,0,0,0,0,13.23,0,0,24.98,1.49,0,10.42,1.51,0,0,0,0,0,0,0,0,0
