stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,76.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,17.93,0,17.92,0,0,0,0,0,0,0
 10-12,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,32.27,0,21.14,0,0,13.96,0,0,0,0
 14-21,0,0,1.95,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0.95,10.79,1.19,0,0,2.94,0,1.92,4.9,1.84,0
 24-34,0,0,1.7,0.68,0,0,0,1.12,0,0,0,0.79,0,0.68,0,4.17,2.58,4.96,1.07,0,0,0,0,0,0.66,1.57,0
 36-46,0,0,1.92,0,0,0,0,3.73,0,0,0,0,0,0,0,4.3,0,14.87,0,0,0,0,0,0,0.96,0,0
 48-58,0,0,0,0,3.57,0,0,1.26,0,0,0,0,0,0,0,3.7,0,7.63,0.47,0,0,0,0,0,2.18,0,0
 60-70,0,0,6.39,0,1.03,0,0,0,0,0,0.92,0,0,0,0,3.89,0.59,12.05,0,0,2.48,0,0,0,0,0.74,7.3
 72-82,0,0,1.05,0,7.66,0.53,0,1.98,0.54,0,1.02,0,0,0,0,2.96,0,2.91,1.43,0,0,0,0,0,0,1.08,0
 84-94,0,0,1.62,4.53,0,0,0,1.8,0.9,0,0,0.55,0,0,0,6.69,0.85,5.06,0,0,4.26,0,0,0,1.51,0.83,0
 96-106,0,1.07,0.62,4.85,0,0.82,1.34,3.27,0,0.68,0,0,0,0,1.08,4.56,0,1.94,0,0,0.69,0,0,0,0,1.25,0
108-118,0,0,3.97,0,5.67,0,0,0,0,0,1.08,0,0,0,0,1.01,0,7.75,0,0,0.47,0,0,0,0,0,0
120,0,0,1.1,0,5.6,0,0,3.75,1.2,0,0,0,1.11,0,0,0,0,28.69,0,0,0,0,0,0,0,0,0
