stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,77.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.33,109.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.39,0,0,0,15.95,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,1.41,1.81,0,0,0,0,0,0,2.38,0,8.59,1.33,0,0,0,0,2.8,0,0,12.21,14.94,0,0,0,0,0,2.14,1.08,26.54,4.84,0,0,0
 24-34,0,0,0,5.31,0.66,0,0.66,0,0.6,0,3.62,0,0,20.41,0,0,0,0,0,3.32,0,0,1.65,24.31,0,0,0,0,0,0,0,1.31,4.56,0,0,5.08
 36-46,0,0,0,3.91,0,0,1.4,0,2.76,0,4.69,0,0,25.01,0,0.56,0,0,6.71,3.82,0,1.72,1.43,39.2,0.92,0,0,0,0,0,0,0,8.33,0,0,0
 48-58,0,0,0,12.53,0,0,0.61,0,0,2.27,2.77,0,1.12,35.34,0,0,0,0,1.83,2.73,0,2.82,2.71,13.69,0,1.12,0,0,2.88,0,0,0,4.73,0,0.42,7.47
 60-70,0,0,0,5.78,0,0,10.63,1.38,9.34,2.38,0,0,0,36.88,0,0,1.13,0,0,17.32,0,0,0,35.56,0,0,0,0,0,0,0,0,1.83,0,0,10.12
 72-82,0,0,0,3.62,0.51,0,15.86,0,0,0,5.33,0,0,37.27,0,0,0,0,0,13.26,0,2.35,0,28.6,0,0.92,3.91,0,0,0,0,0,0.7,0,0,6.62
 84-94,0,0,0,10.12,0,0,1.38,0,0.59,1.83,3.12,0,1.12,67.05,0,1.31,0,0,0,16,0,2.39,0,8.83,0,0,0,0,0,0,0,0,3.07,2.5,1.08,14.33
 96-106,0,0,0,3.04,0,0,14.07,0,0,4.17,4.67,0.7,0,63.9,0.81,0.77,0.79,0.63,0,19.35,1.24,1.06,1.54,17.02,0,0,0,0,1.52,0,0,0,0,0,0,7.45
108-118,0,0,0,8.55,1.77,2.29,18.6,0,0,0,6.26,1.63,0.69,95.39,0,1.3,0,0,0,4.47,0.43,1.16,1.69,19.91,0,0,0.84,0,11.43,0,0,0,0,0,0,7.81
120,0,0,0,7.32,3.21,0,4.26,0,0,0,0,0,0,68.11,0,0,0,0,1.28,17.63,0,0,0,24.45,0,0,0,0,0,0,0,0,0,0,0,14.89
