stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,43.55,506.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.07,1238.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0,23.36,0,0,0,0,0,0,0,0
  7-9,12.96,0,0,9.52,0,0,27.11,0,0,0,0,0,20.13,0,0,0,0,0,0,0,0,0,0,0,452.76,8.71,0,0,102.81,0,6.94,0,0,0,0,0,0,0
 10-12,0,13.39,0,28.93,0,9.45,40.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.69,33.76,0,0,85.11,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.71,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,6.6,47.7,0,1.1,2.84,0,3.5,0,4.35,4.79,17.75,0,0,0,0
 24-34,0,0,1.23,0,3.6,0,17.73,0,0.64,0,4.65,0,0,2.56,0,0,0,0,0,0,11.35,0,0,16.82,218.26,1.3,3.68,0,0,5.19,0,0,1.38,35.69,0,0,7.47,0
 36-46,0,0,0,0,1.6,0,48.47,0,0,4.43,6.8,0,0,0,0,0,0.74,0,0,0,27.37,0,0.92,9.83,547.59,0,4.64,0,0,15.24,0,0,0,106.65,0,0,0,0
 48-58,0,0,0,0,0.45,0,61.15,0,3.06,0,22.36,0.41,0,1.38,0.5,0,0.41,0.48,0,0.64,19.79,0.53,0.54,1.3,279.38,0,3.27,0,0,4.86,0,0,0,62,0,1.28,4.08,7.94
 60-70,0,0,0,0,4.41,0.69,172.17,0,0,0,11.46,0,0,0.77,0,1.74,0,0,0,0,26.37,0.62,0.64,2.69,279.09,0,1.43,3.61,0,2.75,0,0,0,50.58,0,0.67,4.36,0
 72-82,0,0,0,0,2.02,0,105.93,0.74,0,3.63,20.69,2,0,0,0.6,0.68,5.83,1.33,0,3.59,33.69,0,1.13,1.82,239.61,0,2.69,1.32,0,7.74,0,0,0,54.63,0.67,0,0.93,10.49
 84-94,0,0,0,0,4.8,0,134.9,0,0.83,0,22.43,0,0,0,0,0,8.94,5.41,0.59,3.17,47.92,1.51,0,0,210.13,0,1.53,0,0,11.96,0,0,0,41.32,2.64,0,8.96,0.76
 96-106,0,0,1.78,0,4.91,0.7,116.49,0.58,0,3.65,11.12,7.51,0,0,0,0,0.72,0.66,0,0,38.41,0,0,0,126.09,0,1.75,0,0,19.95,0,0,0,16.52,0,0,6.83,0.72
108-118,0,0,0,0,8.62,0.66,105.1,0,0.78,0,23.24,1.35,0,0,1.22,0.72,7.17,0,0,2.16,26.75,0,0,0.47,143.98,0,0,2.01,0,6.72,0,0,0,0,4.34,0,0.95,8.66
120,0,0,0,0,13.26,13.37,38.8,0,2.33,15.32,17.43,0,0,3.24,1.96,0,0,0,0,0,45.22,0,0,0,207.02,0,0,0,0,9.4,0,0,0,0,0,0,0,0
