stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,83.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.09,0,0,0,0,0,0,0,0
  5-6,0,227.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,10.04,0,0,0,0,0,0,0,0,0
  7-9,13.59,0,0,0,0,0,0,16.19,0,0,0,0,0,3.56,0,0,0,0,0,0,0,110.65,0,0,0,28.66,0,0,0,0,0,0,0,0,0
 10-12,0,6.21,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.98,0,0,0,11.73,0,5.33,0,9.68,0,0,0,0,0
 14-21,0,0,0,0,10.67,1.1,0,1.54,0,0,0,1.83,0,0,0,0,0,0,0,0,3.22,69.95,0,0,0,0,0,0,7.93,0,2.93,32.83,0,2.96,0
 24-34,0,0,0,0.59,4.22,0,0,8,0,0,1.24,1.66,0,0,0,0,0,12.91,0,0,5.15,164.88,0.6,0,0,0,0,0,0,0,0,25.51,0,4.22,0
 36-46,0,0,0,0,1.74,0,0,8.96,0,0,0,3.71,0,0,0,0,0,11.52,0,0,0.6,55.53,0,0.81,0,0,0,0,0,0,0,7.68,0,1.05,0
 48-58,0,0,0,0,0.8,0,0,31.88,0,0,0.67,7.12,0,0,0,0,0,12.78,0,0.78,2.14,80.19,0,0,0.74,0,0.51,0,0,0,0,12.54,0,0,0
 60-70,0,0,0,0,2.88,0,0,32.57,0,0,0,7.96,0,0,0,0,7.11,4.58,0,0,0.99,41.75,0,0,1.38,0,0,0,0,0,0,5.38,2.73,1.83,0
 72-82,0,0,1.14,0,1.29,0,0,33.4,0,0,0,11.57,1.62,0,0,0,0.83,13.03,0,0,1.14,44.13,0,1.67,0,0,0,0,0,0,0,2.96,0,0.59,1.81
 84-94,0,0,0,1.01,2.09,0,0,10.41,0.7,0,0,6.52,0,0,0,1.52,0,7.95,1.01,0,2.22,15.82,0,0,0,0,0,0,0,0,0,6.34,0,1,0
 96-106,0,0,0,0,0,0,0,5.01,0,0,0,4.05,0,0,0,0,0,7.17,0,1.11,0.64,32.06,0.69,0,0.64,0,0,0,0,0,0,0,1.03,0,0
108-118,0,0,0,0,2.56,1.57,0.45,9.05,0,0.43,0,7.66,1.14,0,0,0,0,9.79,0,0,0,15.85,0,1.82,0,0,2.7,0,0,0,0,1.08,0,1.1,0
120,0,0,7.01,0,5.16,0,0,14.1,0,0,0,5.35,1.56,0,1.17,0,0,6.79,0,0,0,25.99,19.92,0,0,0,0,0,0,0,0,0,6.25,0,0
