stage,axial,blastomeres,eye,glial,hatching.gland,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,37.85,621.29,0,0,0,0,0,0,0,38.28,0,0,0
  5-6,7.22,347.89,0,0,7.74,0,0,0,0,25.29,0,0,0
  7-9,4.3,16.2,5.85,0,3.22,0,103.37,12.81,15.49,0,9.99,0,0
 10-12,0,0,0,0,0,0,23.76,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.01,0
 48-58,0,0,0,0,0,2.75,1.12,0,0,0,0,0,0
 60-70,0,0,0,0,0,2,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.05,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,8.06,0,0,0,0,0,0
 96-106,0,0,7.07,4.27,0,1.06,0,0,0,0,0,0,8.5
108-118,0,0,0,7.87,0,0,1.91,0,0,0,0,0,0
120,0,0,0,4.03,0,0,0,0,0,0,0,0,0
