stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,heart,liver,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,14.13,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.98,0,0,0,19.19,3.96,0,4.96,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,0,0,0,0,0,0
 14-21,0,0,4.71,0,0,0,0,0,0,2.47,0,0,0,0,0.82,0,0,0,0,13.72,0
 24-34,0,1.03,0.91,0,0,0,8.76,0,0,5.06,0,0,0,0.7,0,0.6,0.75,0,0,145.53,0
 36-46,0,8.15,0,0,0,0,1.59,0,0,12.95,0,0,0,0,0,0,0,0,0,101.29,0
 48-58,0,0.38,0,0.38,0,0,10.13,0,0,5.26,0,0,0,0,0,0,3.2,0,0,82.2,0
 60-70,0,0,0,0,0,0,1.71,0,0,4.98,0,0.84,0,0,0,0,0,0,0,76.67,0
 72-82,0,0,0,0.51,0,0,9.68,0,4.27,2.99,0,0,0,0,0,0,0,0,0,167.65,6.26
 84-94,0,0,0,0,0,0,0.7,0,3.64,6.14,0,0,0,0,0,0,0,0,0,152.64,0
 96-106,0,0,2.58,3.5,2.14,0,12.51,0,4.75,8.79,0,1.76,0,0,0,0,0,0,0,188.93,0
108-118,0,0,0,0,0,0,9.44,0.6,0.5,24.28,0,0.84,0,0,0.44,0,0,2.47,1.81,133.77,0
120,0,0,11.88,0,0,0,4.67,0,0,16.58,0,0,0,0,0,0,0,0,0,235.26,0
