stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,146.89,1243.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.7,0,0,0,0,0,0,0,0,0,0
  5-6,44.49,526.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,32.01,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.97,3.7,0,0,27.22,0,6.66,14.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,23.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,0,0,0,0,0,30.91,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.75,10.9,8.6,0,0,1.69,0,1.3,2.18,0,0,0,0,0,2.17,0,6.74,0,55.01,20.79,0,0,0,0,0,0,1.54,2.35,0,0,7.62,9.6,0,0,0,0
 24-34,0,0,0,0,3.19,0.68,2.91,0,3.28,0,0,0,0,0,0,0.64,0,0,0,239.07,0,168.74,23.22,0,0,0,0,0,1.25,0,1.59,0,0,0.68,8.82,0,85.3,0,11.81
 36-46,0,0,0,0,0.68,0,1.22,0,2.33,1.51,0.85,0,0,3.15,4.83,8.13,0,0,0.86,466,4.17,89.17,50.59,0,0,0.67,0,2.85,0.65,0,0,0,0,0,4.42,0,185.2,0.78,1.34
 48-58,0,0,0,0,1.53,2.42,19.66,0.41,1.9,1.3,5.25,0,3.58,6.2,0,11.05,0,0,0,623.1,24.25,74.09,93.66,0,0,1.58,0,2.71,3.22,0,0,0,0,0,12.19,0,98.17,0,0
 60-70,0,0,0,0,5.05,5.79,25.45,0,0,0,1.66,0,8.34,5.22,0,1.19,2.13,2.4,0,987.51,74.94,67.66,103,0,4.76,3.21,0,35.66,0,0,0,1.88,0,0,7,25.12,104.35,12.78,0
 72-82,0,0,0.64,0,3.88,12.74,74.32,0.98,11.43,7.82,8.95,0.75,3.92,21.16,0,5.55,0,0,0,1585.86,107.79,69.73,149.78,0,1.28,1.16,0,38.11,0,0,0,1.18,0,0,8.09,89.48,121.1,68.78,7.59
 84-94,0,0,0,0,8.77,0,87.58,0,0.56,4.84,12.88,1.24,22.07,14.76,0.69,3.87,0,1.81,0,1228.83,121.45,58.39,107.42,0,1.05,0.79,0,30.42,0.84,0,0,0.93,0.63,0,9.57,51.77,139.44,75.31,0
 96-106,0,0,0,0,15.41,3.83,77.8,0.97,1.04,2.68,21.87,0,18.15,72.01,0,0,0,0,0,1136.18,57.13,55.09,141.45,0,1.91,0,0,64.31,1.92,0,0,0,0,0,3.36,42.87,145.16,114.86,0
108-118,0,0,0,0,13.24,0,49.17,0,3.87,5.94,16.88,0,11.8,48.88,0,4.68,0,0,0,1460.21,53.86,69.39,159.75,0,0,0,0,111,0.46,0,0,0,0,0,4.16,27.83,122.22,61.35,0
120,0,0,0,0,41.32,6.44,80.92,0,0,0,22.71,1.62,4.83,100.4,4.91,3.01,0,0,0,1476.16,95.75,52.07,143,0,1.45,0,0,84.68,0,0,0,0,0,0,0,19.45,157.88,108.08,0
