stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.32,173.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.71,0,0,0,0,8.21,0,0,0,0,0,0,25.85,0,0,3.82,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.99,0,0,0,0,0
 24-34,0,0,0,0,0.62,0,0,3.88,0,0,0,0,0,0,0,0,44.69,2.18,0,0,0,1.15,28.52,0,0,0,0,0
 36-46,0,0,0,0,0.99,0,0,2.46,0,0,0,0,0,0,0,0,59.08,6.21,0,0,0,19.91,20.53,0,0,0,0,0
 48-58,0,0,0,0,38.81,0,0,1.42,0,0,0,0,0,1.52,0,0,106.33,5.33,0,0,0,0,18.42,0,0,0,0,0
 60-70,0,0,0,0.68,661.93,0,0,7.1,0,0,0,3.19,0,8.92,0,0,233.25,4.88,0,0,0,0,14.45,2.49,0,0,0,0
 72-82,0,0,0,0.71,1277.84,0,0,5.49,0,0,1.33,0,0,6.81,6.56,1.57,189.07,3.44,0,0,1.4,0,15.82,0.69,0,0,0,0
 84-94,0,0,0,1.57,699.77,0.63,0,27.21,0.98,0,0,0.73,0,19.86,0,1.11,121.51,4.86,0,0,0,6.26,5.73,0,1.63,0.97,0,0
 96-106,0,0,0.81,0.73,1144.02,0.58,0,13.22,0,0,0.96,0.96,0.81,11.31,0,4.46,151.56,2.08,0,0,0,0.73,6.78,0,0,3.09,0.64,0
108-118,0,0,0,11.38,681.01,0,0.74,8.54,0,0,0,0,0,12.96,2.23,6.46,151.32,1.83,0.78,0,0,0,3.91,0,2.46,0,0,4.66
120,0,0,0,0,253.97,0,0,16.22,0,0,2.63,0,0,45.17,0,0,258,3,0,0,0,1.23,24.27,0,0,5.26,0,0
