stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,53.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.26,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.59,0,0,2.36,0,0.87,0,0,0,0,0,0,0,4.97,0,0,0,0,0.84,47.61,0,0,0,0,0,4.45,0,11.41,0,1.78,0,0,0,0,0
 24-34,0,0.84,13.06,0,0,3.16,0,7.69,0,0,0,0.89,0,0,0,5.36,0,0,0,0,0,38.48,1.23,0,0,0,0,35.74,0,21.31,0,6.64,0,0,4.03,0,0.93
 36-46,0,0,43.77,0,0,6.71,1.63,31.57,0,2.4,0.72,0,0,0,0,8.57,0,4.29,0,0,7.82,33.36,0.72,0,0,0,0,111.62,0,0,0,4.66,0,0,0,0,3.33
 48-58,0,0,42.17,0,0,19.11,0,11.7,10.89,25.95,0,0,0,0,0,0.41,0,20.17,2.57,0,3.35,25.92,10.99,0,0.44,0,0,62.62,0,1.28,0,6.97,0,0,0,0,16.99
 60-70,0,0,49.76,0,0,52.06,0,19.6,12.6,12.86,0,0,0,0,1.58,0,7.12,47.36,0,0.95,2.76,38.17,2.97,0,0,0,0,112.84,0,0,0,12.93,0,1.33,4.53,0,20.23
 72-82,0,0,46.94,6.58,0,67.43,1.08,9.77,14.2,35.75,0,0,3.56,0.64,0,0,0,143.64,1.25,0,9.27,59.53,6.5,0,0.56,0,0,78.64,0,4.81,0,9.02,0.51,0,0.58,0,4.52
 84-94,0,0,112.06,8.42,0,108.03,0.67,45.95,8.25,34.13,0,0,0,6.85,2.36,0,0,126.26,0,3.21,5.63,29.56,13.07,0,0,0,0.6,208.49,0,5.87,0,0,0,3.27,1.58,2.54,10.96
 96-106,0,0,66.87,5.21,0.98,112.76,11.46,16.84,16.17,41.87,1.89,0,0,3.14,0,3.09,6.59,141.78,0.65,4.23,13.48,44.78,4.96,0,1.63,10.66,0,112.3,0,9.99,0.6,0,0.67,3.01,0,2.98,17.93
108-118,0,0.74,115.37,0,0.56,194.63,0.43,32.88,16.24,50.22,1.92,0,0,4.57,2.49,3.44,3.66,157.04,1.95,8.26,12.01,30.48,10.54,1.52,0,0,3.53,74.98,0.79,23.47,0,6.18,1.13,3.49,0,1.91,24.6
120,0,0,107.86,0,0,131.93,0,38.22,34.01,66.56,0,0,1.11,6.07,0,15.82,0,108.45,4.38,16.63,4.56,55.49,18.58,0,3.88,0,3.58,80.18,0,14.21,0,24.97,0,0,0,5.34,19.77
