stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.9,83.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.28,356.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88,7.03,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.42,0,16.76,0,0,0,21.07,0,0,0,0,0,14.67,0,0,0,0,0,0,0,0,0,0,0,237.16,3.34,0,0,58.44,0,0,0,0,0,0,0,0,0
 10-12,0,8.16,0,8.15,0,0,0,18.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.63,4.32,0,0,6.27,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,70.59,0.95,0,0,0,0,0,1.24,45.65,0,0,0,0,0
 24-34,0,0,0,0,3.7,0,0,13.74,0,0,0,2.95,0,0,0,0,0,0,0,0,0,4.36,0,0,2.47,1348.32,2.43,15.81,0,0,0,0.7,0,169.65,0,0,5.71,0,0
 36-46,0,0,0,0,12.41,0,0,105.09,3.36,0,0,9.66,0,0,0,0,0,0,0,0,0,6.29,0,0,3.16,4919.58,0,11.03,0,0,0,14.49,0,496.21,0,0,1.86,0,6.22
 48-58,0,0,0,0,47.59,2.59,0,647.91,1.48,2.82,2.49,75.59,0,0,1.24,1.2,0,6.95,0.83,0,0.6,42.74,1.46,0,2.41,7634.57,16.97,9.99,0.44,0,0.4,3.53,0.73,770.68,0,0,2.18,0,22.92
 60-70,0,0,0,0,23.57,0,0,1991.94,0,1.35,1.49,79.71,0,0,0,1.31,0,23.2,4.27,2.6,5.76,46.09,3.18,10.49,5.64,8964.13,1.31,10.89,0,0,0,9.31,0,837.09,0,0,14.09,1.7,0
 72-82,0,0,1.94,0,23.57,4.06,0,1646.37,0,0.68,6.47,79.78,0.56,0,0.75,2.21,0,1.13,0,0,3.31,36.08,1.81,12.41,1.51,6175.52,1.23,14.77,3.71,0,0.77,5.32,0,397.59,0,5.38,9.04,3.2,0
 84-94,0,0,0,0,30.74,4.52,0,1210.37,0,0,14.22,67.37,0,0,0.7,2.16,1.78,12.43,0.69,0.68,0,40.17,0,10.51,5.35,3560.88,0,9.32,2.77,0,0,2.57,0,292.81,0,5.53,3.7,29.42,0
 96-106,0,0,0,1.03,13.5,22.6,0,911.13,0,9.44,1.09,44.19,0.58,0,0,2.43,0.78,0.75,0,0,0,42.26,0,16.21,5.41,2914.9,0,22.08,1.09,0,0,15.5,0,98.77,2.22,2.52,0.71,12.79,8.84
108-118,0,0,0.54,0,26.3,0.45,0,922.26,0,0,0,42.15,0.8,0,3.23,0,1.01,3.6,0.41,0,0,32.79,0,19.1,4.48,3454.83,1.07,16.06,0.9,0,0,8.17,0,127.01,0,0,1.03,10.41,0.63
120,0,0,0,0,25.68,3.1,14.01,984.27,0,1.11,0,122.89,1.31,0,0,4.74,0,0,0,14.14,0,28.78,0,55.83,3.94,5983.95,0,19.26,2.45,0,0,0,0,145.06,0,1.54,19.22,27.76,4.37
