stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,68.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16,0,0,0,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.79,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.38,6.39,0,0,21.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.72,0,0,0,0,0,4.62,0,0,0,0,0,50.23,0,0,0,0,0,0,0,0,0,121.47,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.72,0,0,2.49,0,0,0,0,0,45.37,0,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0,0,0,1.42,0.85,0,0.83,1.84,0,0,0,0,0
 24-34,0,0,0,0,3.1,0,0,3.95,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0.91,20.49,0,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0
 36-46,0,0,0,0,0.91,0,0,25.26,0,0,0,1.2,0,13.67,0,0,0,0,0,0,0,0,0,15.64,0,2.12,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0
 48-58,0,0,0,0,0.82,0,0,81.2,0,0,0,0,1.77,30.09,0,0,0,0,2.75,0,0,0,0,26.93,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
 60-70,0,0,0,0,0.65,0,0,646.8,0,0,0,7.85,0,18.23,0,0,0,0,0,2.08,0,0,0,39.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96
 72-82,0,0,1.52,0,7.35,3.97,0,3343.86,0,0,0,13.05,0.51,2.03,0,0,0,13.55,0,25.79,0,0.88,0.78,135.34,0,0.97,0,0,0,0,1.65,0,0,0,0,4.85,1.21,1.14,0,4.52,0
 84-94,0,0,0,0,17.89,1.05,0,4230.25,1.69,0,0,11.16,2.45,0.77,0,0,0,1.45,0,10.52,0,0,0,75.71,0,0,0,0,0,9.17,0,0,0,0,0,6.07,2.24,0,15.73,0,2.62
 96-106,0,0,1.62,0,62.02,33.2,0.66,12666.83,5.6,3.11,0,39.56,5.34,2.64,3.33,8.06,0,1.66,14.31,49.7,0,0.62,7.28,205.59,0.97,5.54,3.22,0,3.99,29.45,0,0,0,14.33,0,13.62,0.8,4.52,6.94,0.96,0
108-118,0,0,7.96,0,16.99,9.03,3.26,14210.57,0.88,1.05,8.14,25.77,8.48,0,0,2.87,1.96,0,8.17,78.84,0,0,9.19,318.99,1.18,2.4,1.87,0,0.95,18.67,0,0,0,1.31,0,13.48,0.71,2.22,7.1,1.28,22.36
120,0,0,7.98,0,127.99,16.36,0,46434.48,1.14,25.74,1.67,87.74,15.37,0,0,15.82,26.94,11.68,7.76,242.23,1.49,0,24.56,1078.73,9.65,2.34,2.68,0,24.51,43.58,0,0,6.19,0,0,37.34,5.28,13.11,9.17,6.47,0
