stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,156.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,89.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.67,0,0,0,3.81,3.63,0,0,0,0,0
 10-12,0,5.51,0,35.03,0,0,15.93,0,0,0,0,4.05,0,0,0,0,0,0,0,0,377.7,0,0,0,36.79,10.28,0,27.9,0,0,0
 14-21,0,0,0,9.24,978,15.87,11.61,0.88,0,0,65.3,0,0,28.77,0,1.02,98.35,1.12,0,18.67,30.99,26.21,5.23,1.48,5.46,5.7,9.47,1.04,5.39,5.02,0
 24-34,1.76,0,0,35.81,87,0,27.65,2.98,0,0,4.22,0,1.04,1.39,0.74,1.94,96.73,2.03,0,29.04,45.13,0,0,6.33,0,1.95,0,0,0.72,3.05,0
 36-46,0,0,0,0.88,16.85,0,3.45,3.27,0,0.85,9.99,0,0,2.54,2.34,17.42,32.86,0,1.54,1.12,13.92,0.92,0,5.49,0,0,0,0,0,1.15,0
 48-58,0,0,0,0,3.67,0,3.73,0.42,0,0,0.38,0,0,0,0,2.28,2.81,0,0,1.71,40.82,0,0,2.01,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,4.41,0.65,0,0,1.72,0,0,0,0,0,8.27,0,0,0,57.83,0,0,0.68,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,13.56,0,0,1.43,0,0,0,0,0,0,10.27,0,0,0,87.11,0,0,0,0,0,0,0,0,1.2,0
 84-94,0,0,0.94,0,0,0,6.73,0,0,0,0.76,0,0,0,0,0,3.27,0,0,0,72.26,0,0,0,0,0,0,0,0,5.06,0
 96-106,0,0,0,0,0,0,0.56,1.55,1.54,1.76,0,0,0,0,0,0,23.41,0,0,0,147.38,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.26,0,6.56,1.06,0,0.54,1.06,0,0,0.55,0,0,2.04,0,0,0,107.47,0,0,0.58,0,0,0,0,0,0,1.81
120,0,0,0,0,2.81,0,0,1.73,0,2.56,0,0,0,0,0,0,6.2,0,0,0,202.39,0,0,0,0,0,0,0,0,0,0
