stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,taste,vascular_smooth_muscle,vasculature
  3-4,41.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.91,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,42.04,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,24.39,0,0,0,6.54,4.39,0,0,0,0,0
 10-12,0,0,3.32,0,0,0,0,0,0,0,0,27.38,9.28,0,0,0,0,0,0,0,0,0
 14-21,0,1.85,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.61,0,1.52,0,0,0,0,16.01,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.44,0,0,0,0,1.04,0,0,22.68,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.14,0,0,0,0,0.91,0,0,0,0,21.2,0,0,0,0,0
 60-70,0,7.78,0,0,0,0,0,0,0.59,0,0,5.56,0,0.89,0,0,16.7,0.65,0,0,0,7.14
 72-82,0,1.26,0,0,0,0.6,0,0,0.61,0,4.94,0,0,0,0,0,5.29,0,0,0,0,0
 84-94,0,3.04,0,0.69,0,0,1.23,0,1.58,0.57,0,0.92,0,0,0,0,34.01,0,0,0,0,0
 96-106,0,2.32,3.07,0,1.53,0,0,0,0,0,1.76,0,0,0,0,0,27.01,0,0,0,0,0
108-118,0,1.5,1.16,0,0,0,2.47,0,4.09,0,0.94,6.77,0,0,0.78,0,14.1,1.16,0,0.58,0,0
120,0,1.2,0,0,0,0,8.41,0,0,0,0,5.02,0,0,0,0,11.8,0,0,0,6.25,0
