stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0
  5-6,66.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.17,0,0,0,32.95,0,0,0,0,0,14.24,0,0,0,0
 14-21,0,0,0.85,9.89,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,8.22,0,0,3.2,1.18,0,0,5.23,0,1123.04,147.47,5.75,0,0,0
 24-34,0,1.43,0,7.73,0.69,4.45,0,0,0,3.41,0,1.04,0,0.7,0,0.68,0,0,2.78,0,0,26.06,33.63,0,1.06,0.72,0,0,0,0,1.75,496.93,7.13,16.25,0,0,0.78
 36-46,0,0,0,4.81,0.57,22.44,2.63,1.03,0,0,0,0,0,0,0,0,0,0,8.89,0,0,8.14,37.93,0,2.16,0.63,14.25,0,2.39,0,0,225.21,0.66,12.53,0.62,0,0
 48-58,0,0,0,0,0,11.99,5.09,0.38,0.83,2.08,0,0,0,0,3.42,0,0,6.3,4.54,0,0,13.68,46.19,0,0,0,0,0,0.4,0,0,76.93,0,17.19,1.64,0,0
 60-70,0,0,0,0.68,1.4,18.57,48.58,5.34,0,10.71,0,0,0,0.6,0,0,0,0,15.39,1.01,0,13.49,43.06,2.9,1.8,2.12,0,0,0.83,0,0,41.81,0,5.5,0,0,0
 72-82,0,1.36,0,1.51,0,26.54,57.52,0,0,4.3,0,0,0,1.46,0,0.65,0,0,13.33,0,0,26.9,43.49,0,1.21,1.42,1.13,0,0.57,0,0,20.33,0,16.43,0.83,1.33,0
 84-94,0,0,0,1.15,0,11.32,103.31,0,0,4.09,0,0,0,0,0,0,0,0,6.08,0,0,11.15,27.01,0,0,0.66,0,0,0,0,0,25.68,0,3.64,7.51,6.26,0
 96-106,0,0.63,0,3.22,4.81,24.93,203.73,0,0,8.04,2.07,0,1.72,0,0,1.89,0,0,15.7,0,0.59,17.59,47.24,0,0,12.36,1.2,0,7.41,0,0,63.96,0,0,0,0,0
108-118,0,6.4,0,1.56,0,18.39,120.33,0,0,7.9,0.61,0,0,0,0,0,0.7,0,14.06,1.08,0,33.74,22.01,0,0,0,0,0,0,0,0,40.87,0,0.47,0,0,0
120,0,0,0,1.45,0,28.17,136.89,0,2.41,0,0,0,0,0,0,0,0,0,14.83,0,0,10.91,29.3,0,0,0,0,13.5,0,0,0,19.7,0,0,0,0,0
