stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,37.22,1366.41,0,0,0,0,0,0,0,0,0,0,0,0,0,37.96,0,0,0,0,0
  5-6,58.26,671.66,0,0,0,0,0,0,0,0,0,6.87,0,0,0,36.87,0,0,0,0,0
  7-9,0,5.52,0,0,4.15,0,0,5.39,0,0,0,37.36,0,0,13.52,0,5.5,0,0,0,0
 10-12,0,0,4.69,0,0,0,0,0,0,0,0,17.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.09,0,0,0,0,0,0,0,30.35,0,0,0,2.12,0,0,0.96,0,0
 24-34,0,0,0,0.85,1.56,0,0,0,0,0,0,72.95,0,0,0,0.83,0,0.62,12.97,0,0
 36-46,0,0,0,0,0.56,0,0,0,0,0,0,123.28,0,0,0,0,0,0,5.62,0,0
 48-58,0,0,0,0,2.96,0.71,0,0,0,0,0.61,75.82,0.87,0,0,0,0,0,5.28,0,0
 60-70,0,0,0,0,4.59,2.89,0,0,0,0,0.59,62.84,0,0,0,0,0,0,11.54,0,0.68
 72-82,0,0,0,0,2.58,16.68,0,0,0,0,0.78,60.14,1.63,0,0,0,0,0,3,0,0
 84-94,0,0,0,3.24,5.45,7.08,0.96,0,0.75,2.13,0.83,32.62,0,0,0,0,0,0,0.67,0,0
 96-106,0,0,0,0.6,0.61,7.88,0,0,1.92,0,0,30.04,0,0,0,1.72,0.64,0,3.52,0,0
108-118,0,0,0.74,1.01,3.15,6.37,0,0,0,0,0,67.06,0,0.43,0,4.32,0,0,0,1,0
120,0,0,0,0,7.69,7.26,0,0,0,0,0,69.51,0,0,0,1.17,0,0,0,0,0
