stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,76.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0
  5-6,18.21,30.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,35.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,32.11,0,0,24.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,29.49,0,5.14,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.87,25.32,0,0,20.53,0,0,0,19.19,0,0,0,0,0,0
 14-21,0,0,0,2.43,9.75,9.22,0,1.7,0,0,2.66,4.52,3.92,0.85,0,0,0,2.77,0,38.82,0,12,35.26,0,0,1.82,0.94,0,0,1.57,0.85,0,27.92,0,0,0,1.85
 24-34,0,0,0,4.41,2.32,0.89,0,8.05,0,0,3.58,0.67,22.43,0,0,0,0,0,0,84.55,0,17.33,73.93,0.68,0,7.43,0,0,0,0,1.81,0.67,20.68,0,19.38,0,1.69
 36-46,0,0,0,0,0.64,3.94,0,7.29,0,0,7.59,0,16.47,37.54,0,1.31,0,2.96,0,119.88,8.82,15.97,54.02,0,0,10.7,0,0,3.04,0,1.53,0,18.97,2.21,13.98,0,2.6
 48-58,0,0,0,0,1.03,0,0,14.16,1.69,2.42,39.06,0,7.52,20.16,0,0,0.53,0,0.56,202.06,18.27,10.4,59.6,0,0,9.08,0,0.61,0,0,1.47,0,19.42,1.72,13.43,0,14.34
 60-70,0,0,0,0,0,0,0,17.9,0,0.59,8.58,1.45,4.31,95.66,0,3.84,0.63,0,0,206.7,34.85,13.65,27.49,0,0.84,13.34,0,1.21,0.82,0,0,0,8.37,4.25,29.65,1.88,15.91
 72-82,0,0,0.53,0,0,3.27,0,23.16,0,3.26,54.22,1.15,9.56,42.62,0,0,0,8.79,0,271.33,37.69,21.97,48.1,2.81,0,15.96,0,7.61,0,0,1.67,0,4.58,8.23,66.31,16.97,11.1
 84-94,0,0,0,0,2.73,0,1.09,23.51,0.82,2.42,55.73,1.38,6.06,86.86,1.56,1.58,0,1.78,0,190.15,26.65,6.77,25.09,0,0.71,28.26,0,4.73,0,0,3.99,0,3.29,10.89,54.17,10.27,26.92
 96-106,1.12,0,0,0,12.26,0.71,0.75,40.26,0,3.53,69.9,1.26,11.62,117.21,0.56,4.98,0,2.79,0,216.16,31.05,14.05,41.08,1.15,0,22.96,0,8.16,5.13,0,1.82,0,8.2,10.51,104.71,31.01,16.03
108-118,0,0,0,0,8.76,8.27,16.23,23.07,0.46,1.9,90.7,2.4,1.37,121.01,0,8.24,0,9.09,3.48,249.62,24.62,9.8,32.82,0,1.12,18.49,0,12.87,0,0,3.89,0,11.48,1.82,69.28,13.71,10.02
120,0,0,0,4.41,4.66,0,1.09,15.64,3.82,0,90.96,1.33,25.66,111.17,0,10.67,0,13.44,0,171.59,56.75,15.32,19.03,0,0,41.55,0,40.44,2.69,0,2.27,0,1.98,17.93,109.24,32.59,5.92
