stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.86,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.48,0,0,0,198.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.19,51.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.42,0,0,0,317.87,0,0,4.56,19.79,0,5.78,4.47,0,0,0,0,0
 14-21,0,2.65,26.42,6.14,0,19.43,0,0,0,18.91,0,0,0,0,0,0,0,38.04,0,0,32.13,213.3,2.04,0,0,1.8,0,10.04,72.44,0,1.83,91.5,143.96,0,0,0,0,0
 24-34,0,0.65,6.25,0,0,9.66,0,0,0,25.73,0.61,0,0,0,0,0.68,0,36.16,4.95,0.82,23.71,445.28,4.13,0,1.7,0,0.99,28.09,0,0,3.19,2.39,281.1,0,0,3.56,0,3.22
 36-46,0,0,10.78,2.17,0,7.74,0,0,0,26.08,0,0.72,0,0,0.66,0.72,0.66,69.71,0,2.14,16.86,598.01,1.34,1.48,1.7,0,0,10.67,0,0,0,0,367.77,0,1.04,2.02,0,0.85
 48-58,0,0,2.7,0,0,19.29,0.54,0,0.44,38.87,0,0,0,0,0,0,0,49.48,0.49,1.58,7.42,376.88,7.08,0,5.73,0,0,12.4,0,0,0.4,0,161.35,0,0,0,0,0
 60-70,0,0,2.68,0.81,0,20.28,0,0,0,48.08,0,0.93,0.71,1.16,0,4.39,0,31.3,0,1.41,1.29,440.39,2.27,0,0,0,0,0.62,0,0,0,0,166.53,0,2.97,1.77,0,0
 72-82,0,0,5.47,0,0,18.73,1.52,0.8,0,104.79,2.1,1.83,0,0,2.04,3.06,0,108.46,0,4.17,6.1,447.23,0.73,0.88,4.38,0,0,7.48,0,0,0,0,102.35,0,3.18,5.67,8.67,0
 84-94,0,0,9.17,0,0,36.57,0,0,0,68.7,8.06,0,0,0,2.11,1.46,0,67.82,0,6.61,2.35,261.33,0.73,0,6.36,0,0,19.43,0,0,0,0,44.38,0,2.26,7.4,4.4,0
 96-106,0,0,8.45,2.65,0,23.31,0,0,0,71.1,2.59,0,0.98,0,0,0,0,73.86,0,2.17,8.02,247.43,0,1.92,9.36,0,1.82,25.82,0,0,0,0,51.88,0,11.41,3.19,7.86,0
108-118,0,0.74,18.93,1.42,0.59,19.9,0,0,3.53,53.61,0,0,0,0,0.62,0,0,64.14,0,6.14,3.55,385.52,0,0,20.61,0,0,16.49,0,0,0,0,22.03,1.34,4.54,1.12,0.72,0
120,0,0,9.53,0,0,23.09,0,0,0,47.45,0,0,0,0,0,0,0,97.47,0,8.17,3.7,263.42,0,0,8.66,0,0,9.64,0,0,0,0,33.8,0,13.11,6.47,0,0
