stage,blastomeres,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature
  3-4,31.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.86,0,0,0,0,0,0,13.36,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.15,1.02,0,0,0,0.81,1.04,0,0
 24-34,0,0,0,0,0,0,0,0.6,0,9.27,0,0,0,0.62,3.74,0,1.37
 36-46,0,4.5,0.72,1.2,0,0,0,0,0,7.28,0,0,0,0,8.14,0,0
 48-58,0,0,1.55,0.7,0,0,0,0,0.54,11.66,0,0,0.4,0,2.49,0,0.38
 60-70,0,0,1.76,0,0,0,0,0,2.22,15.68,0,0,0,0,0.87,0,0
 72-82,0,0,5.5,1.44,0,0,0,0,2.31,18.23,0,0.54,0,0,4.63,0,0
 84-94,0,0,0,0,1.45,0.77,0,0,0,0,1.9,0,0,0,4.39,0,0
 96-106,0,2.52,0,0.94,0,0,0,0,2.37,2.97,0.63,0,2.08,0,4.02,0,0.76
108-118,0,0,9.96,6.07,0,0,4.34,0,0.74,17.47,0,0,0,0,0,0.83,0
120,0,0,2.49,0,0,0,0,0,0,11.64,0,0,0,0,0,0,0
