stage,epidermis,eye,glial,neural,vasculature
 48-58,0,0,0,0,5.03
 60-70,0,0,0,0,1.15
 72-82,0,12.44,0,0,0
 84-94,0,0,0.79,0,0
 96-106,0,9.49,0,0,1.35
108-118,0,15.9,0,0,0
120,9.64,10.86,0,17.32,11.14
