stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,taste,vasculature
  5-6,35.76,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5,0,0,4.25,0,0,0,0,13.7,0,7.02,0,0,0
 10-12,0,0,0,0,0,0,0,0,14.97,0,14,0,0,0
 14-21,0,0.97,2.56,0.89,0,0,0,0,0.98,0,0,1.47,0,0
 24-34,0,0,0,3.96,0,0,0.96,0.93,27.74,1.03,0,3.93,0,2.12
 36-46,0,0,0,2.88,0,0,0,0.65,13.45,0,0,9.07,0,3.59
 48-58,0,0,0,5.53,2.9,0.39,1.52,0,16.83,0,0,0,0,0
 60-70,0,0,0,10.3,0,0,1.47,0,9.8,0,0,3.43,0,0
 72-82,0,0,0,13.43,0,0,0,0,22.44,0,0,0,0.51,1.09
 84-94,0,0,1.05,9.46,2.75,0,1.03,0,5.98,0,0,0,2.69,0
 96-106,0,1.93,0,15.36,2.28,0,0.9,0,3.04,0,0,1.9,0,0
108-118,0,0,0,7.66,0,0,1.76,0,6.3,0,0,0,0,0
120,0,0,0,0,0,0,0,0,12.84,0,0,0,0,0
