stage,glial,immune,neural,notochord,periderm,spinal.cord
 24-34,0,0,1.02,0,0,0.8
 48-58,0,0,0,0,1.21,0
 84-94,0.78,1.03,0,0,0,0
108-118,0.49,0,0,0,0,0
120,0,0,0,3.19,0,0
