stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0
 24-34,0,0.7,0,0,0.68,0,0,0,0,1.04,0.64,0,6.41,0,0,3.61,4.64,0,0,0,0,0,0.94,0
 36-46,0,1.36,0,0,0,1.17,0,0,0,2.59,0.58,0,2.31,0,0.55,10.22,0,0,0,2.96,0,0,0,0
 48-58,0,0.53,0,0,0,0,0,0,0,10.75,0,0,3.26,0,1.59,8.54,0.58,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,3.68,0,0,31.88,11.5,0,0,0,0.76,0.9,0,0,0,0,0,0.59,2.53,0
 72-82,0.57,0,0,0,1.4,0,0.86,0.74,0,19.85,0.54,0.71,6.75,0,0,3.4,1.74,0,0,2.62,0,0,3.04,0
 84-94,0.7,3.26,0.96,0.69,1.88,0,0.9,0.92,1.66,37.26,1.03,1.24,8.8,0.91,0,8.71,1.62,0,0,0,0,0,1.62,0.61
 96-106,0,0.57,0,0,0,0,0,0.81,0.76,25.55,0,1.2,2.18,0,0,2.7,1.62,0,0,0,0,0,6.74,0
108-118,0,2.98,0,0,0.42,0,0,0,0,28.72,0.48,1.44,7.62,0,4.57,6.95,1.55,0,0.57,0,0.71,0,0,0
120,0,6.74,0,0,1.12,0,0,0,0,31.47,0,0,3.19,0,0,3.81,0,17.18,0,0,0,0,1.96,0
