stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,liver,neural,paraxial.mesoderm,periderm
  3-4,0,21.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.97,22.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.16,10.96,0
 10-12,0,0,0,0,0,0,0,0,0,0,13.32,4.87,0
 14-21,0,0,0,5.37,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.11,0.98,0,0,0.64,1.02,1.34,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.67,1.14,0,0,12.74
 48-58,0,0,0,0,0,0,0,0,3.42,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.96,4.62,0.99,0,0
 72-82,0,0,1.38,0,0,0.56,0,0,0.86,0,4,0,0
 84-94,0,0,0,0,0,0,4.71,0,1.25,7.24,3.84,0,0
 96-106,0,0,0,0,0,0,5.32,0.82,2.74,0,0,0,0
108-118,0,0,0,0,0,0,5.69,0,3.11,0,0,0,0
120,0,0,0,0,0,0,0,0,3.97,0,2.43,0,0
