stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,622.18,5852.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541.8,0,0,0,0,0,0,0,0,0,0
  5-6,1920.09,13492.25,67.78,0,0,0,0,0,0,0,164.61,0,0,0,0,0,0,0,0,0,0,1212.06,81.27,0,0,248.65,0,1787.08,0,0,0,0,0,0,0,0,0,0
  7-9,571.94,494.24,2049.1,0,18.9,1550.55,0,0,0,0,691.93,0,0,0,0,0,0,0,0,0,0,17262.42,504.94,0,0,3684.33,0,93.84,58.1,0,25.58,0,0,0,0,0,0,0
 10-12,16.22,283.08,688.39,0,43.01,1044.44,0,0,0,0,48.37,0,0,0,0,0,0,0,0,0,0,10940.2,198.6,0,0,974.16,0,0,69.16,17.87,76.35,0,0,18.81,0,0,0,0
 14-21,0,0,3.81,106.82,65.65,55.86,0,0,170.48,11.24,0,3.06,54.21,0.89,0,0,0,79.83,0,0,24.85,8463.45,22.71,3.47,11.99,6.62,0,11.33,8.92,21.02,5.33,6.95,13.52,2336.58,0,0,0,0
 24-34,0,0,0,14.56,21.12,65.5,0,0.86,284.2,0,0,1.62,77.33,0,1.54,9.67,1.71,58.1,0,0,17.29,8319.39,0.63,6.66,17.51,0,0,10.67,0,0,3.46,5.55,12.87,2888.78,0,10.95,0,3.8
 36-46,0,0,0,2.29,0.73,55.92,2.46,1.58,364.66,0,0,0.63,70.09,0,0,0,0,51.29,0,0,8.01,4251.91,1.11,0,15.71,0,0,2.42,0,0,0,0,0,2291.18,0,3.74,0,5.82
 48-58,0,1.29,0,1.53,0.96,27.43,0,3,225.09,0,0,0,69.21,0,0,0,0,44.25,0,0.4,13.23,777.14,0,1.91,20.01,0,0,2.29,0,0,0,0,0,902.22,0,0.47,0,9.78
 60-70,0,0,0,0.77,0,26.26,0,1.35,124.55,0,0,0,71.25,0,0,0,0,15.53,0,0.66,3.09,239.04,0,0,2.57,0,0.97,0,0.64,0,0,0,0,198.07,7.18,0.57,0,0
 72-82,0,0,0,0,0,15.33,0,4.13,64.41,0,0,0,66.62,0,4.26,0,0,18.2,0,0,3.33,92.84,0,0,4.06,0,0,0,0,0,0,0,0,37.77,6.32,1.79,1.16,0
 84-94,0,0,0,1.97,1.18,37.29,0,0,57.75,0,0,0,101.22,0,0,0,0,14.53,0,0.65,0,52.26,0,0,0,0,0,0,0,0,0,0,0,37.8,3.71,1.47,0,0
 96-106,0,0,0,1.23,1.91,15.05,0,0,24.08,0,0,0,98.59,0,0,0,0,7.7,0,0,0.81,39.3,0,0,1.11,0,0,0.83,0,0,0,0,0,9.95,1.79,3.63,2.35,0
108-118,0,0,0,2.34,3.96,8.78,0,0,34.48,0,0,0,89.62,0,0,0,0,8.85,0,0,0,49.88,0,0,1.18,0,1.49,0.58,0,0,0,0,0,10.02,0,3.81,0,0
120,0,0,0,0,10.47,0,0,0,56.78,0,0,0,159.3,0,1.11,0,0,19.09,9.06,0,0,16.01,0,0,0,0,0,0,0,0,0,0,0,1.57,0,1.95,0,0
