stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,38.82,373.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
  5-6,6.56,760.4,0,0,0,0,0,0,0,0,0,0,0,0,0,36.18,0,0,0,9.21,16.66,0,0,0,0,0,0,0
  7-9,10.09,35.95,0,23.55,0,0,84.6,0,0,0,20.58,0,0,0,0,702.17,27.89,0,0,216.16,0,0,0,0,0,0,0,0
 10-12,0,37.46,0,52.64,0,14.55,47.01,0,0,0,5.92,0,0,0,0,616.84,25.65,0,0,121.56,0,9.34,0,18.75,0,0,0,0
 14-21,0,0,1.23,0,3.25,2.03,1.97,0,0.89,0,0,0,2.39,0,0,18.33,2.51,0,0,0,0,0,2.75,0,0,4.22,0.82,0
 24-34,0,0,0,0,0,0,2.4,0,0,0,0,0.65,3.62,0,2.79,71.02,0,2.29,0.68,0,1.07,0,0,0,0.71,19.14,0,0
 36-46,0,0,0,0,0.58,0,16.5,0,4.3,0,0,0,4.41,0,1.28,106.53,0,0,0,0,0,0,0,0,0,32.01,0,0
 48-58,0,0,0,0,0.6,0.56,27.3,6.77,7.26,0,0,0,3.09,0.51,0,108.68,0,0,0,0,0,0,0,0,0,20.88,0,0
 60-70,0,0,0,0,0.62,0,40.4,0,17.32,0,0,0,15.99,0,1.1,114.79,0.65,0,0,0,0,0,0,0,0,6.12,0,0
 72-82,0,0,0,0,0.56,18.8,16.55,0,9.78,0,0,0,5.87,0,1.4,50.88,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,15.78,26.42,0,1.32,0,0,0,1.27,0,0,44.88,0,0,0,0,0,0,0,0,0,1.37,0,0
 96-106,0,0,0,0,0,78.85,0.66,0,1.62,0,0,0,1.61,1.09,0,24.42,0,0.73,0,0,0,0,0,0,0,8.96,1.58,0
108-118,0,0,0,0,0,17.76,9.81,0,0,0,0,0,4.25,0,0,33.4,0,0,0,0,0,0,0,0,0,0,0,2.47
120,0,0,0,0,0,11.56,0,0,7.49,1.77,0,0,0,0,0,31.97,0,0,0,0,0,0,0,0,0,0,0,0
