stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  5-6,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,21.36,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.2,0,0,0,0,0,0
 14-21,0,0.86,0,0,0,0,0,0,1.05,3.3,0,0,0,0,2.31,0
 24-34,0,0,0.83,0,0,0,0,0,0,13.47,0,0,3.43,0,0,0
 36-46,0,0,0.56,0,0,0,0,0,0,23.36,0,0,0,0.88,1.33,0
 48-58,0,2.84,2.77,0,0.73,0,0,0,0,22.17,0,0,0.38,0,2.11,0
 60-70,0,0,5.81,0,0,0,6.77,0.77,0,13.51,0,0,0,0,3.15,0
 72-82,0,0,5.77,0,0,0,0,0,0,14.88,0,0,0,0,3.84,0
 84-94,0,0,2.6,0,3.34,0,0,0,0,6.52,0,0,0,0,0,0.93
 96-106,0,0,5.62,0,0,0,0,0,0,13.05,0,0,0,0,0,0
108-118,0,0,0,0,0,1.23,0,1.21,0,6.92,0,0,0.52,0,0,0
120,0,3.69,5.97,2.21,0,0,0,0,0,12.51,6.42,0,1.13,0,0,0
