stage,eye,fin_epithelia,mesenchyme,neural,olfactory
 24-34,0,0,0,1,0
 48-58,0.89,0,0,0,0
 60-70,0,0.65,0,0,0
 72-82,0,0,0,0,1.61
108-118,0,0,1.84,0,8.65
