stage,epidermis,eye,hatching.gland,neural,otic
 14-21,1.14,0,0,0,0
 36-46,0,1.42,0,0.75,0
 60-70,0,2.21,1.21,0.89,0
 72-82,0,4.27,0,2.12,0
 84-94,0,3.22,0,0,0.66
