stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  5-6,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,12.03,0,6.85,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.08,0,0,0,0,21.29,0,0,0.96,2.19,2.92,0,0
 24-34,0,0.73,0,0.98,0,0,0,0,0.82,0,4.62,1.52,16.05,1.71,0,0,1.13,5.46,0,4.11
 36-46,0,0,0,6.03,0,0,1.05,0,0,0,1.26,1.69,16.79,0,0,0,0,2.91,0,0
 48-58,0,0,0,3.57,0.74,0,2.65,0,1.27,0,1.05,0,7.2,0,0,0,0,8.94,0,0
 60-70,0,0,0,8.42,0,0,0,0,0,0,5.16,0.57,21.9,0,0,0,0,1.02,0,5.64
 72-82,0,0,0,7.5,1.29,0,2.63,0,0,0,3.61,0,3.75,0.54,0,0,0,0,0,0
 84-94,0,0,0,8.06,0,0,0,0.68,0,0,2.11,0,0,0.71,0,0,0,0,0,0
 96-106,0,0,0,6.21,0,0,0,0,1.83,0,0,0,2.67,0,0,0,0,2.06,0.71,0
108-118,0,0,0,1.82,0,0,5.94,0.5,0,0,5.86,0,4.17,0,0,0,0,0,0,0.83
120,0,0,2.14,2.16,0,14.81,4.02,0,0,7.52,0,2.15,5.57,0,0,0,0,0,0,0
