stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,20.92,258.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.79,3.22,0,0,11.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.88,0,0,0,0,0,0,0,0,0,1.81,0,0,2.53,10.3,0,0,0,0,3.3,0,2.41,0,0,0
 24-34,0,0,0,0,0,1.08,1.15,0,0,0,0,0,2.13,0,0,7.15,21.77,0,4.82,0,0,0,1.08,3.17,0,0,0
 36-46,0,0,0.78,0,0,2.37,1.39,0,0,0,0,0,6.43,0,0,0,8.72,0,2.63,0,0,0,0,3.96,0,0,0
 48-58,0,0,4.57,0,0,0,6.88,0,0,0.4,0,0,0.75,0,0,0,11.74,0,0.38,0,0,0,0,6.94,0,0.62,0
 60-70,0,0,0,0,0,4.26,3.4,3.41,0,0,0,0,9.33,0,1.4,0,11.46,0,4.42,0,0,0,2.5,4.93,0.81,0,0
 72-82,0,0,1.93,0,0,6.7,5.64,1.34,0,0,0,0,6.18,2.55,0,0,21.07,0,0,0,0,0,6.24,0,0,0,0
 84-94,0,0,0,0,0.6,0,2.98,0,0,0,0,5.1,13.07,0,0,0,11.43,0,1.87,0,0,0,4.55,1.52,0,0,0.91
 96-106,0,0,1.89,0,0.66,1.91,5.87,1.23,0,0,0,4.52,6.22,0,10.72,0,6.86,0,0,1.65,0,0,4.04,0,2.08,1.43,0
108-118,0,0,0,0,1.94,4.13,0.44,0,0,0.54,1.8,2.11,9.48,0,0,3.22,37.23,0,2.11,0.94,0,0,4.95,6.49,0,0,0
120,0,0,1.41,1.46,0,0,4.83,0,0,1.54,0,1.99,5.31,0,0,3.16,91.45,0,0,5.68,0,0,8.03,0,0,13.89,0
