stage,epidermis,eye,glial,immune,mesenchyme,muscle,neural,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,1.43,0.92,0,0.93,0,0,0
 24-34,0,0,0,0,0.9,0.74,1.57,0,0,0,2.17,0,0.96
 36-46,0,0,0,0,5.54,0,5.13,0,0,0,2.08,0,0
 48-58,0,0,0,0,0,0,3.14,0,1.86,0,0.95,0,0.58
 60-70,0,1.56,0,3.99,0,0,2.46,0,0,0,0,0,0
 72-82,0.66,3.41,1.3,0,1.07,0,7.77,0,0,0,0,0,0
 84-94,0,1.3,0,0,0,0,24.92,1.06,0,0,8.85,0,0
 96-106,0,0,0,0,0.85,0,1.35,0,0,0,0,0,0
108-118,0,7.16,2.65,0.58,0,0,6.31,0,0,0,0,0,0
120,1.69,0,0,0,6.58,0,0,0,0,0,0,4.4,0
