stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,102.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,311.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0
  7-9,3.82,18.73,19.4,0,0,0,31.91,0,0,0,0,0,22.46,0,0,0,0,0,0,0,0,0,0,0,542.46,5.51,0,0,118.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,111.63,144.51,0,29.88,0,52.99,0,0,0,0,0,41.32,0,0,0,0,0,0,0,0,0,0,0,2681.49,100.93,0,0,832.92,0,6.05,0,32.26,0,3.87,0,0,0,0
 14-21,0,0,1.07,17.7,4.01,0,2.73,0,0,0,2.24,0,0,0,0,0,0,0,0,0,3.06,0,0,4.12,36.41,9.01,0,0.88,0,0.83,0,4.35,0.94,0.8,8.85,11.72,0,3.39,0
 24-34,0,0,0,3.19,0.8,0,3.21,0,0.68,0,1.05,0,0,0,0,0,0,0.77,0,0,6.74,0,0.69,6.15,59.91,0,0,1.12,0,9.24,0,0,0,0,1.93,9.5,0,2.58,0
 36-46,0,0,0,0,0,0,6.63,0,0,0,1.76,0,0,0,0,0,0,0,0,0,8.89,0,0,0.98,28.67,0,0,0,0,15.76,0,0,0,0,0,3.95,0,9.15,0
 48-58,0,0,0,10.14,4.71,0,29.08,0,0,0,8.09,0,0,0.69,0,0,0.4,1.35,0,3.78,15.42,1.21,1.12,0.99,119.02,0,0.86,0.39,0,20.47,0,0,0,0,0,19.17,0,0.5,0
 60-70,0,0,0,0.71,0,0,19.69,1.17,0,0,4.34,1.07,0,0,1.64,0,0,0,0.78,2.31,15.31,0,0,1.63,35.26,0,0,0.65,0,7.34,0,0,0,0,0,0.72,0,2.59,0
 72-82,0,0,0,0.57,9.79,0,29.6,0.96,2.79,2.56,4.42,0,0,0,0,0,0,0,0,0,14.8,0,0,1.77,46.1,0.72,0,1.18,0,2.16,0,0,0,0,0,4.92,0,1.64,0
 84-94,0,0,0,2.03,0,0,24.11,0,1.37,0,4.19,0,0,0,0,1.34,0,0,0,0,15.99,0,0,0.75,37.02,0,0,0,0,17.91,0,0,0,0,0,4.96,0,2,0
 96-106,0,0,0,2.28,0,3.58,1.47,0,0,0,0,0.7,0,0,0,0.87,0,0,0,0,1.5,0,0,1.39,8.29,0,0,0,0,6.15,0,0,0,0,0,0,2.25,2.3,2.11
108-118,0,0,0,3.75,0,0,15.66,0,1.59,0,4.87,0.55,0,0.69,0,0.7,0,1.91,0,0,17.66,0,1.3,2.35,57.02,0.43,0.6,1.51,0,20.79,0,0,0,0,0,0,0.91,2.72,0.5
120,0,0,0,7.19,2.46,0,61.64,14.88,0,12.97,54.79,17.94,0,0,13.66,5.72,0,0,0,0,25.63,0,0,5.78,97.09,3.25,2.97,3.1,0,24.56,0,1.12,0,0,0,0,0,41.64,0
