stage,axial,blastomeres,endocrine_pancreas,endoderm,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,85.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.96,84.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.74,0,0,4.02,0,0,0,0,0,0,0,0,29,0,0,9.41,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,45.17,0,0,6.65,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,1.93,0,0.8,4.05,0,0,0
 24-34,0,0,1.05,0,2.52,0.67,0,0,1.56,1.35,0,0,27.09,0.99,0,0,1.42,0,0,0.94,4.87,0,1.82,0
 36-46,0,0,0,0,2.1,0,0,0,0,2.79,0,2.66,23.55,0.84,0.75,0,2.64,0,0,0,1.02,0,0,0
 48-58,0,0,0,0,5.35,0,1.89,0,0,1.98,0,1.52,34.07,0,1.66,0,0,0,0,0,3.33,0,0,0
 60-70,0,0,0,0,18.62,0,1.65,0.69,0,1.12,0.66,0,42.96,0,0,0,0,0,0,0,5.73,0,0,0
 72-82,0,0,0,0,6.02,0,1.27,0,0,2.69,0,0,44.12,0,0,0,0,0,0,0,10.14,0,0.8,0
 84-94,0,0,0,0,5.67,0,0,0,0,0,0,0.99,24.69,0,0,0,4.08,0,0,0,0,5.14,3.4,0
 96-106,0,0,0,0,13.18,0,0,0,0,5.36,0,0.65,1.31,0,0,0,0.7,0,0,0,2.42,0,0,2.48
108-118,0,0,0,0,0.42,0,0,0,0,8.05,0,0,19.82,0,0,0,2.23,0,0,0,0,0,0,0
120,0,0,0,0,18.36,0,6.61,0,0,10.55,0,1.79,39.52,0,0,0,0,0,0,0,0,0,0,0
