stage,epidermis,eye,fast_muscle,gut,iridophores,mesenchyme,mural_cell,neural,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,1.67,0,1.38,0
 24-34,0,0,0,0,0,0,0,11.57,0,4.28,0
 36-46,0,0.84,0,0,0,0,0,3.45,0,1.18,2.96
 48-58,0.41,0,0,0,0,0,0,6.77,0,12.27,0
 60-70,0,2.21,0,0,0,0,0,9.54,0,3.02,0
 72-82,0,3.04,2.9,0,0,1.58,0.72,5.07,0,0,0
 84-94,0.57,0.71,0,3.24,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,4.15,0,0,0
108-118,0,0,0,0,5.25,0,0,1.24,1.13,0,0
120,3.12,0,0,0,0,0,0,5.42,0,0,0
