stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,165.04,2299.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.19,0,0,0,0,0,0,0,0,0,0
  5-6,50.68,1599.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.48,105.33,0,120.49,0,0,0,288.65,0,0,0,0,43.4,0,0,0,0,0,0,0,0,0,0,2254.95,54.66,0,0,705.03,0,0,52.36,0,0,0,0,0,0,0,0,0
 10-12,0,109.54,0,135.69,0,28.46,0,225.36,0,0,0,0,8.67,0,0,0,0,0,5.32,0,0,0,0,2529.47,14.36,0,0,712.01,0,0,56.95,4.43,96.45,0,15.3,5.32,0,0,0,0
 14-21,0,0,0,5.37,40.56,6.93,0,21.93,0,0,7.4,1.21,1.19,0,0,5.64,0,0,0,0,35.61,0,22.53,536.81,4.29,0,2.16,11.07,0,7.89,1.12,53.01,1.05,0,23.42,124.3,0,3.45,0,0
 24-34,0,0,0,0.68,15.22,1.51,0,98.42,0,1.75,15.12,0.71,0,0.82,2.15,0.65,0,0.86,0,1.29,82.67,3.45,24.93,996.05,0,5.94,10.2,0,0,12.71,0,0,2.78,3.1,6.16,176.59,0,6,0,2.44
 36-46,0,0,0,0.56,11.9,1.37,0,267.04,0,0.63,19.06,0,0,0,0,0,0,0.65,0,0,66.19,0.63,24.04,663.36,0.72,4.15,6.61,0,0,18.69,0.81,0,0,0,0,118.64,0,4.76,0,8.47
 48-58,0,0,0,1.75,23.42,2.22,0,356.45,1.34,0.8,28.28,1.32,0,0,0.38,0.48,0,0,2.57,0,57.13,7.58,12.72,420.84,0.56,4.81,3.89,0,0,7.04,0,0,0,0,0,41.02,0,5.42,0,2.12
 60-70,0,0,0,0,13.32,0,0,223.21,0,6.29,27.72,3.6,0,0,0,2.48,0,0,8.68,0,100.17,0.59,7.17,235.66,0,0,0.83,0,0,0.58,0,0,0,1.01,0,22.1,0,6.75,0,0
 72-82,0,0,0,0,5.52,0.59,0,93.5,0,3.35,24.49,3.21,0,1.66,7.87,0,0,0.74,0,0,51.09,2.14,3.7,215.71,0,0,7.75,0,2.23,3.71,0,0,0.52,0,0,26.22,0.5,0.64,0.93,0
 84-94,0,0,0,0,8.64,3,0,83.75,0,0,23.74,4.29,0,0,1.64,0.56,1.5,0,0,0.83,46.23,3.82,11.9,159.14,1.8,0.97,1,0,0,0.66,0,0,0.74,0,0,20.49,0,5.56,1.7,0
 96-106,0,0,0.95,0,10.27,0,0,74.6,0,0.69,28.44,0,0,2.2,1.28,0.69,0,1.96,1.45,0,62.79,0,1.47,98.97,0,0.73,10.34,0,0,4.37,0,0,0,0,0,15.47,0,2.44,0.69,7.73
108-118,0,0,0,0,11.63,0.59,1.7,59.18,1.06,3.86,23.1,0.53,0,0,2.86,0,1.72,0,0,6.18,28.91,1.54,1.45,151.59,0,0.99,1.84,0,0,0.42,0,0,0.52,0,0,1.39,0,6.65,0.68,0.68
120,0,0,0,0,7.83,4.63,0,102,0,0,23.18,3.05,0,0,4.79,0,0,0,0,0,55.73,0,4.84,293.15,0,3,3.28,0,0,1.47,0,0,0,0,0,17.19,0,4.8,2.54,0
