stage,axial,blastomeres,glial,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,vasculature
  5-6,8.77,24.34,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.37,0,0,0
 10-12,0,0,0,0,0,3.67,6.01,0,0
 36-46,0,0,0,0.56,5.14,3.69,0,11.02,0
 48-58,0,0,0.51,0,0,0,0,0,0
 72-82,0,0,0.59,0,1.12,2.78,0,0,0.57
108-118,0,0,0,0,0,0,0,1.31,0
