stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,55.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,0,0,0,0,0,0,0
  5-6,6.8,44.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.94,0,0,0,35.34,0,0,0,0,5.09,0,0,0,0,0,0,0,0,0,0,88.08,0,0,0,31.42,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,32.51,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,289.42,29.16,0,0,57.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.66,2.43,5.21,0,0,3.28,1.21,0,0,0,0,0,0,0,0,1.88,0,10.46,57.78,0.8,0,0,0,0,6.41,7.72,25.75,0,0,0,0
 24-34,0,0,0,1.81,0,8.47,0,0,4.28,0,0,0,0,0,0,0.82,0,0,14.97,0,6.07,93.29,0,1.06,1.68,0,4.8,0,0.61,18.5,0,0,0,0.79
 36-46,0,0,0,8.43,0,8.83,0,0,3.61,0,0,0.56,3.25,0,0,0,0,0.61,10.47,0.95,2.57,103.88,0,0,0,0,0,0,0,15.28,0,0,1.03,1.47
 48-58,0,0,0,3.09,0,22.34,2.75,3.18,4.31,0,0,0.4,0,0.39,0.47,0,0,0,12.13,1.77,1.16,94.41,0,0,0,0,0,0,0,22.75,0,0,0,0
 60-70,0,0,0,3.08,0,45.71,0,5.54,8.99,1.93,0,0,0.71,0,0.66,0,0,0,12.79,2.16,0.78,188.83,0,3.45,0,0,0,0,0,15.65,0,0,0.93,0
 72-82,0,0,0,1.62,0,24.07,0,5.86,35.12,0,0,0,0,0,0,1.68,0,0,10.54,4.24,2.48,281.42,0,0.5,0,0,0,0,0,13.29,0,1.04,2.2,0
 84-94,0,0,0,1.14,0,30.59,0,10.93,22.71,4.4,0,0,0.75,0,0.62,0,0,0,10.33,0,2.83,128.44,0,0,0,0,0.95,0,0,29.91,0.66,0,10.66,0
 96-106,0,0,1.09,1.16,0,17.68,0,4.01,4.14,0,0,0,0,0.99,3.4,0,0,0,6.02,1.43,3.26,233.9,0,0,1.17,0,0,0,0,1.73,0,0,0.67,0
108-118,0,0,0,3.46,0,21.15,0,3.62,28.34,0.69,0,0,1.47,0.55,7.66,0.78,0.48,0,9.44,0,2.65,168.61,0,0.55,5.35,0,0,0,0,3.57,0,0.75,1.74,0
120,0,0,0,0,0,37.3,0,0,5.98,0,0,0,0,0,0,0,1.05,0,16.65,0,0,476.69,0,0,0,0,0,0,0,16.53,0,0,3.29,0
