stage,blastomeres,eye,fast.muscle,fin.epithelia,glial,gut,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature
  3-4,22.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,24.92,9.21,0,0,0,0,0
 14-21,0,0.89,0,0,0,0,0,0,1.93,0,0,0,1.87,3.49,0
 24-34,0,0,0,0,0,0,0,0,6.49,0,0,0,0,2.45,0
 36-46,0,3.02,0,0,1.26,0,0,0.58,6.64,0,0,0,0,0.73,1.72
 48-58,0,0.42,0.4,0,0,5.67,0,0,9.31,0,0,0,0,0.57,0
 60-70,0,7.64,0,0,0,0,0,0,9.25,0,0,0.83,0,0,0
 72-82,0,3.41,0,0,0,0,0.7,0,21.44,0,1.08,0,0,0,0
 84-94,0,1.05,0,0,1.02,0,1.93,0,12.78,0,0,0,0,0,0
 96-106,0,9.51,0,0,0,0,4.01,0,21.35,0,0,0,0,0,0
108-118,0,0,0,1.46,0,0,0,0,13.2,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0
