stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,29.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.87,0,0,0,6.82,0,0,0,0,0,0,0,0,0
 10-12,9.58,0,0,18.57,0,0,0,0,8.04,0,0,0,0,0,0,0,154.35,9.53,0,0,21.6,0,0,5.43,0,0,0,0,0,0
 14-21,0,0.88,0.92,0.84,0,0,0,0,0,0,0,0,0,0,0,0,26.42,0,0,0,0,0,0.91,0,0.98,1.62,7.68,0,0,0
 24-34,0,0,0,2.57,0,0,4.01,0,0,0,0,0,0,4.74,0,0,55.13,0,0,0,0,0,0,0.64,0,1.81,12.39,0,1.82,1.49
 36-46,0,1.47,0,6.86,0,0,2.87,0.61,0,0,0,0.74,0,1.68,0,2.4,52.25,0,0,0,0,0,0,0,0,0,17.96,0,2.14,2.25
 48-58,0,1,0,18.34,0,0.63,6.38,0,0,0,0.38,0,0,9.94,0,5.56,44.88,0,0,0.91,0,4.62,0,9.46,2.07,0,9.62,0,0.52,0
 60-70,0,0.9,0,5.52,0,0,8.77,1.41,0,0,0,0,9.67,0.92,0.7,1.28,28.15,0,0,0,0,0,0,0,0,0,4.11,0,0,0
 72-82,0,0.49,0.96,11.01,0,0,13.22,0,0,0,0,0,3.43,8.13,0,1.3,49.75,0,1.82,0,0,0,0,0,0,0,12.56,0,1.44,0
 84-94,0,0.65,0,2.95,0,0,5.21,0,0,0,0,0,0,3.95,4.3,3.41,24.63,1.33,0,0,0,0,0,0,0,0,1.88,1.37,0,0
 96-106,0,1.31,0,16.39,0,2.49,14.57,0,0,0,0,0,0,5.12,0,0.81,17.23,0,0,3.95,0,0.57,0,0.7,0,0,0,0,1.24,2.01
108-118,0,0.59,0,5.46,0.52,0.53,12.34,0.85,0,0.86,0,0,0,5.2,0,2.77,13.71,0,0,0.43,0,1.24,0,0,0.69,0,0,0,0.43,0
120,0,1.12,0,6.75,0,0,2.95,0,0,6.16,0,0,0,35.63,0,0,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0
