stage,epidermis,erythrocytes,eye,glial,heart,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
 14-21,0.81,0,2.02,1.13,0.81,0,0,0,24.58,7.27,0,0.94,0,4.44,6.91,11.12,0
 24-34,0,0,2.98,0,0,0,0,1.31,20.96,0,0,0,0,0,0,5.88,0
 36-46,0,0,1.06,0,0,0,0,0,24.47,0,0,0,0,0,0,7.9,0
 48-58,0,0,2.2,1.33,0,0,0.38,0,13.98,0,0,0,0,0,0,2.83,0
 60-70,0,0,6.7,1.16,0,0,0,0,18.67,0,0,0,4.64,0,0,1.53,0
 72-82,0,1.48,6.29,0,0,0,0,0,3.39,0,0,0,0,0,0,0.95,0
 84-94,0,0,4.63,0.55,0,0,0,0,4.33,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.7,0.77,0,4.61,0,0,0,0,0,0,0,0
108-118,0,0,0,3.94,0,0,0,0,8.73,0,3.12,0,0,0,0,0,0.8
120,0,0,0,3.86,0,0,0,0,4.18,0,0,0,0,0,0,0,0
