stage,blastomeres,epidermis,eye,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
  3-4,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,19.91,0,0
 14-21,0,0,0,0.87,0,0,0,0,1.11,0,0,0,0,1.04,0
 24-34,0,0,0.66,0,0,0,0,0,4.27,0,0,0,0,2.02,0
 36-46,0,0,0,0,0,0,0.95,0,8.09,0,0,0,0,2.51,0
 48-58,0,0,3.8,3.57,0,0,0.43,0,13.21,0,0,0,0,0.94,0
 60-70,0,0,8.76,6.44,0,0,4.74,0.67,26.17,0.96,0,2.99,0,1.19,0.72
 72-82,0,0,0.93,0,0,0,0,0,25.57,0.53,1.28,0,0,0,0
 84-94,0,0.57,0,0.86,0,0,2.65,0,6.17,0,0,0,0,1.86,0
 96-106,0,0.59,0,0,0,0,0.76,0,4.47,0,0,0,0,0,0
108-118,0,0,2.64,0,0,0.61,0,0.72,14.23,0.44,0,0,0,0,0
120,0,0,0,0,0,0,5.25,0,12.3,0,0,0,0,0,0
